,Features,AvgLossSyn
0,"['monthly_emissions', 'prcp', 'snow', 'tavg']",0.00494676725328497
0,"['monthly_emissions', 'prcp', 'snow', 'gdp_rel_2017_interp']",0.008903477414664511
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_energy_prod']",0.10730151858926434
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_energy_use']",0.0068883163082781
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_energy_flow']",0.0061252238970048774
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_renew_pct']",0.012781256787841295
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_fossil_pct']",0.006001807949359495
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_pop_density']",0.006492295008420643
0,"['monthly_emissions', 'prcp', 'snow', 'monthly_emissions_sma']",0.00641234124499099
0,"['monthly_emissions', 'prcp', 'tavg', 'gdp_rel_2017_interp']",0.0053736455001836235
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_energy_prod']",0.10285379381899959
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_energy_use']",0.006484828853041156
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_energy_flow']",0.003943316353701101
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_renew_pct']",0.011563337616018939
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_fossil_pct']",0.007253549067331288
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_pop_density']",0.005188050596254804
0,"['monthly_emissions', 'prcp', 'tavg', 'monthly_emissions_sma']",0.004649680866392795
0,"['monthly_emissions', 'prcp', 'gdp_rel_2017_interp', 'monthly_energy_prod']",0.004606395283971321
0,"['monthly_emissions', 'prcp', 'gdp_rel_2017_interp', 'monthly_energy_use']",0.0057599310561588625
0,"['monthly_emissions', 'prcp', 'gdp_rel_2017_interp', 'monthly_energy_flow']",0.006511026827244173
0,"['monthly_emissions', 'prcp', 'gdp_rel_2017_interp', 'monthly_renew_pct']",0.012049884007986596
0,"['monthly_emissions', 'prcp', 'gdp_rel_2017_interp', 'monthly_fossil_pct']",0.011230951751816019
