,Features,AvgLossSyn
0,"['monthly_emissions', 'prcp', 'snow']",0.13061221253319347
0,"['monthly_emissions', 'prcp', 'tavg']",0.16863758729822753
0,"['monthly_emissions', 'prcp', 'gdp_rel_2017_interp']",0.03686254973532635
0,"['monthly_emissions', 'prcp', 'monthly_energy_prod']",0.09587714535487338
0,"['monthly_emissions', 'prcp', 'monthly_energy_use']",0.14283321326473428
0,"['monthly_emissions', 'prcp', 'monthly_energy_flow']",0.039127312418647274
0,"['monthly_emissions', 'prcp', 'monthly_renew_pct']",0.1975352947191568
0,"['monthly_emissions', 'prcp', 'monthly_fossil_pct']",0.12066187283294413
0,"['monthly_emissions', 'prcp', 'monthly_pop_density']",0.03381195055658991
0,"['monthly_emissions', 'prcp', 'monthly_emissions_sma']",0.1090273946591533
0,"['monthly_emissions', 'snow', 'tavg']",0.2014792608563166
0,"['monthly_emissions', 'snow', 'gdp_rel_2017_interp']",0.04301732293151505
0,"['monthly_emissions', 'snow', 'monthly_energy_prod']",0.11204187570154481
0,"['monthly_emissions', 'snow', 'monthly_energy_use']",0.15917081331238642
0,"['monthly_emissions', 'snow', 'monthly_energy_flow']",0.04310887803055107
0,"['monthly_emissions', 'snow', 'monthly_renew_pct']",0.3068853276567913
0,"['monthly_emissions', 'snow', 'monthly_fossil_pct']",0.19972190646475363
0,"['monthly_emissions', 'snow', 'monthly_pop_density']",0.035747226703997784
0,"['monthly_emissions', 'snow', 'monthly_emissions_sma']",0.1735712521961612
0,"['monthly_emissions', 'tavg', 'gdp_rel_2017_interp']",0.05802974710214877
0,"['monthly_emissions', 'tavg', 'monthly_energy_prod']",0.09901260265639208
0,"['monthly_emissions', 'tavg', 'monthly_energy_use']",1.7199475413395944
0,"['monthly_emissions', 'tavg', 'monthly_energy_flow']",0.048281282651001095
0,"['monthly_emissions', 'tavg', 'monthly_renew_pct']",1.9998757741204978
0,"['monthly_emissions', 'tavg', 'monthly_fossil_pct']",0.6607816930796261
0,"['monthly_emissions', 'tavg', 'monthly_pop_density']",0.02342895056313736
0,"['monthly_emissions', 'tavg', 'monthly_emissions_sma']",0.16594137912280435
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_energy_prod']",0.01972456512094547
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_energy_use']",0.046028833969690416
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_energy_flow']",0.04144415996379494
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_renew_pct']",0.11807959853622997
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_fossil_pct']",0.02718254063389726
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_pop_density']",0.027970737043677998
0,"['monthly_emissions', 'gdp_rel_2017_interp', 'monthly_emissions_sma']",0.011670321395506928
0,"['monthly_emissions', 'monthly_energy_prod', 'monthly_energy_use']",0.07242346708783132
0,"['monthly_emissions', 'monthly_energy_prod', 'monthly_energy_flow']",0.02785457563145582
0,"['monthly_emissions', 'monthly_energy_prod', 'monthly_renew_pct']",0.3181934929655968
0,"['monthly_emissions', 'monthly_energy_prod', 'monthly_fossil_pct']",0.21230482755313085
