state,date,co2_per_capita,prcp,snow,tavg,gdp_per_capita,eprod_per_capita,euse_per_capita,eflow_per_capita,monthly_num_plants,monthly_renew_pct,monthly_fossil_pct,monthly_coal_pct,republican_vote_pct,monthly_pop_density,avg_facility_age,avg_weighted_facility_age
AL,1990-01-01,,7.89,0.0,46.8,,,,,,,,,,,,
AL,1990-02-01,,9.35,0.0,51.9,,,,,,,,,,,,
AL,1990-03-01,,8.92,0.0,54.2,,,,,,,,,,,,
AL,1990-04-01,,4.48,0.0,59.7,,,,,,,,,,,,
AL,1990-05-01,,4.38,0.0,67.3,,,,,,,,,,,,
AL,1990-06-01,1.1799734580633132,2.66,0.0,77.1,,0.026102649634799194,0.03331629652766032,-0.007213646892861123,,,,,,0.012943774837625661,,
AL,1990-07-01,1.3065898049139968,3.55,0.0,79.6,,0.026079312770587577,0.03321496961379385,-0.007135656843206276,,,,,,0.012930711005959515,,
AL,1990-08-01,1.28943111296081,1.89,0.0,81.4,,0.026056022965519537,0.03311384702719884,-0.007057824061679305,,,,,,0.012917673517709716,,
AL,1990-09-01,1.1126968488113262,2.34,0.0,76.1,,0.026032780077395234,0.0330129281504542,-0.006980148073058968,,,,,,0.01290466229327367,,
AL,1990-10-01,1.01264081370339,3.4,0.0,61.8,,0.026009583964587156,0.032912212368623926,-0.006902628404036768,,,,,,0.012891677253369179,,
AL,1990-11-01,0.9592054705460022,4.73,0.0,55.2,,0.025986434486037265,0.03281169906924457,-0.006825264583207299,,,,,,0.012878718319032825,,
AL,1990-12-01,1.0156224376516814,18.68,0.0,46.8,,0.025963331501254124,0.03271138764231286,-0.006748056141058729,,0.1301472617186535,0.6882040183406011,0.6736557199290569,13.14,0.012865785411618376,,
AL,1991-01-01,1.1262140740734148,2.77,0.0,42.9,,0.02599006779813225,0.032710553460285494,-0.00672048566215325,,0.129320687179726,0.6866597708718675,0.6720092611085491,,0.01285287845279519,,
AL,1991-02-01,0.9763546820332164,8.46,0.0,47.4,,0.026016750505053723,0.03270972095028395,-0.0066929704452302315,,0.1285096148889874,0.6851444854705553,0.6703936813099152,,0.012839997364546636,,
AL,1991-03-01,0.9970085292651556,9.33,0.0,54.0,,0.026043379782979968,0.032708890107286184,-0.0066655103243062185,,0.127713612785476,0.683657354938989,0.6688081199083145,,0.012827142069168521,,
AL,1991-04-01,0.9148859360030607,10.3,0.0,64.3,,0.02606995579222843,0.03270806092629021,-0.006638105134061781,,0.126932264716319,0.6821976017997727,0.6672517479663238,,0.012814312489267527,,
AL,1991-05-01,1.1031191133926685,8.68,0.0,72.2,,0.026096478692475812,0.03270723340231407,-0.00661075470983826,,0.126165169711259,0.6807644769404235,0.6657237667888641,,0.01280150854775966,,
AL,1991-06-01,1.2564324104262248,1.72,0.0,76.6,,0.026122948642761254,0.03270640753039569,-0.006583458887634437,,0.1254119412965229,0.679357258331508,0.6642234065564903,,0.012788730167868703,,
AL,1991-07-01,1.3911073114413377,2.59,0.0,80.9,,0.026146308786070438,0.03270175982959666,-0.006555451043526218,,0.1246722068455662,0.6779752498136709,0.6627499250321359,,0.012774483685868518,,
AL,1991-08-01,1.3726951070362474,4.54,0.0,79.6,,0.026169616941491145,0.03269712247223378,-0.0065275055307426385,,0.123945606964402,0.6766177799492762,0.6613026063367463,,0.012760268909346666,,
AL,1991-09-01,1.1844247317197731,3.34,0.0,74.0,,0.02619287328237865,0.03269249542381653,-0.006499622141437877,,0.1232317949093836,0.6752842009346792,0.6598807597895551,,0.012746085732580202,,
AL,1991-10-01,1.0778065064731301,2.49,0.0,62.7,,0.026216077981318392,0.032687878650007565,-0.0064718006686891715,,0.1225304360354591,0.6739738875694294,0.6584837188090612,,0.012731934050315705,,
AL,1991-11-01,1.0208263715916548,4.05,0.0,47.7,,0.02623923121013014,0.032683272116621864,-0.006444040906491724,,0.1218412072730537,0.6726862362789553,0.6571108398710254,,0.012717813757766684,,
AL,1991-12-01,1.0807555550315215,12.02,0.0,46.7,,0.026262333139872317,0.03267867578962589,-0.0064163426497535715,,0.1211637966318615,0.6714206641875241,0.6557615015200715,,0.012703724750610977,,
AL,1992-01-01,1.1689397440849567,2.76,0.2,41.8,,0.02642347750159872,0.032766325711563925,-0.006342848209965202,,0.1199706289231263,0.6703097647161467,0.6545576466531663,,0.012689666924988196,,
AL,1992-02-01,1.0132904117902715,3.21,0.0,47.9,,0.02658426561579163,0.032853781862722975,-0.006269516246931348,,0.1187917300991828,0.6692121502980404,0.6533681884769157,,0.012675640177497166,,
AL,1992-03-01,1.0346189612675514,4.93,0.0,51.5,,0.02674469866250014,0.0329410448849574,-0.006196346222457262,,0.1176268457227548,0.6681275840392356,0.6521928702750583,,0.012661644405193392,,
AL,1992-04-01,0.9493007962052061,2.48,0.0,60.3,,0.026904777816567346,0.033028115417289894,-0.006123337600722544,,0.1164757273701925,0.6670558346447518,0.6510314413988236,,0.012647679505586543,,
AL,1992-05-01,1.1444971905156769,2.45,0.0,66.9,,0.027064504247658976,0.033114994095927074,-0.0060504898482681,,0.1153381324548508,0.665996676254156,0.6498836570887265,,0.012633745376637947,,
AL,1992-06-01,1.3034277816149389,10.59,0.0,73.5,,0.027223879120291842,0.03320168155427498,-0.005977802433983131,,0.1142138240566564,0.6649498882828796,0.6487492783026096,,0.012619841916758105,,
AL,1992-07-01,1.443007145683532,6.13,0.0,79.1,,0.02737997921630598,0.033284623387180565,-0.005904644170874585,,0.1131025707576118,0.6639152552690649,0.6476280715496734,,0.01260462276096612,,
AL,1992-08-01,1.4237771956073342,3.39,0.0,74.5,,0.027535703261635965,0.03336736541026023,-0.005831662148624274,,0.1120041464829965,0.6628925667257152,0.6465198087302545,,0.01258944026866182,,
AL,1992-09-01,1.2283881127338652,5.87,0.0,71.7,,0.027691052613526165,0.033449908344668815,-0.005758855731142653,,0.1109183303480368,0.6618816169979366,0.6454242669811225,,0.012574294307519128,,
AL,1992-10-01,1.117710219320583,2.61,0.0,60.3,,0.027846028622697392,0.03353225290809491,-0.005686224285397516,,0.1098449065098246,0.6608822051250676,0.6443412285260728,,0.012559184745847985,,
AL,1992-11-01,1.0585239195193725,5.19,0.0,49.9,,0.028000632633386025,0.03361439981478168,-0.005613767181395663,,0.1087836640242785,0.6598941347075014,0.6432704805316055,,0.012544111452590542,,
AL,1992-12-01,1.1205641854973099,6.02,0.0,43.1,,0.028154865983382838,0.033696349775547536,-0.0055414837921647,,0.1077343967079466,0.6589172137780183,0.6422118149674915,8.27,0.012529074297317373,,
AL,1993-01-01,1.2670688405854054,4.52,0.0,44.5,,0.028134732793358295,0.033743639249078694,-0.0056089064557204,,0.1062802345363086,0.661825349529326,0.6452991636687405,,0.012514073150223702,,
AL,1993-02-01,1.0982536798023477,2.79,0.0,41.7,,0.028114647756893787,0.03379081561800495,-0.005676167861111166,,0.104836438504589,0.6647127543451936,0.6483645038971807,,0.012499107882125677,,
AL,1993-03-01,1.1212692331883292,7.91,7.3,48.7,,0.028094610701438743,0.03383787928761858,-0.005743268586179838,,0.1034028981623745,0.6675796491121232,0.6514080701513755,,0.012484178364456658,,
AL,1993-04-01,1.028712805005675,3.51,0.0,57.1,,0.028074621455266006,0.033884830661277725,-0.005810209206011718,,0.1019795046228192,0.6704262515896849,0.6544300936102598,,0.012469284469263537,,
AL,1993-05-01,1.2401263912632081,8.28,0.0,68.6,,0.02805467984746696,0.03393167014041801,-0.005876990292951049,,0.1005661505350743,0.673252776465654,0.6574308021916754,,0.012454426069203084,,
AL,1993-06-01,1.412209732492796,1.56,0.0,77.3,,0.028034785707946604,0.03397839812456387,-0.005943612416617267,,0.0991627300572995,0.676059435409984,0.6604104206096705,,0.012439603037538305,,
AL,1993-07-01,1.5639025026763338,2.17,0.0,83.5,,0.02802277662651615,0.03403453421365582,-0.00601175758713967,,0.0977691388302406,0.6788464371276492,0.6633691704305972,,0.012428291347411932,,
AL,1993-08-01,1.5435187847367686,5.72,0.0,80.6,,0.028010789365652423,0.03409056830316643,-0.006079778937514006,,0.0963852739513609,0.6816139874103775,0.6663072701280338,,0.01241700021068847,,
AL,1993-09-01,1.332091060154708,4.48,0.0,71.0,,0.027998823865937283,0.03414650067084407,-0.006147676804906788,,0.0950110339495126,0.6843622891873042,0.6692249351365601,,0.012405729571400301,,
AL,1993-10-01,1.2124272298794765,1.84,0.0,59.9,,0.027986880068168102,0.0342023315934296,-0.006215451525261496,,0.0936463187601341,0.6870915425745749,0.672122377904416,,0.012394479373782819,,
AL,1993-11-01,1.1485635175716866,3.88,0.0,49.7,,0.02797495791335682,0.0342580613466609,-0.006283103433304081,,0.0922910297009622,0.6898019449239187,0.6749998079450684,,0.012383249562273517,,
AL,1993-12-01,1.2162383442745763,4.93,0.0,42.0,,0.02796305734272897,0.0343136902052775,-0.00635063286254853,,0.0909450694482446,0.6924936908702172,0.6778574318877127,,0.012372040081511076,,
AL,1994-01-01,1.171824340194706,6.59,0.1,35.6,,0.028161415095742874,0.03440971547940236,-0.006248300383659482,,0.0928429850615927,0.6883197156762926,0.6736682018320286,,0.01236085087633445,,
AL,1994-02-01,1.0159961151959076,10.15,0.0,46.2,,0.0283594143856216,0.03450556722100681,-0.006146152835385213,,0.0947363666982137,0.6841557117931343,0.6694889795298207,,0.012349681891781955,,
AL,1994-03-01,1.0375907611006547,9.37,0.0,52.9,,0.028557056183185426,0.03460124590006639,-0.006044189716880962,,0.096625230585715,0.6800016435323111,0.6653197291622253,,0.012338533073090387,,
AL,1994-04-01,0.9522190830912396,3.11,0.0,64.3,,0.028754341455752102,0.03469675198486098,-0.0059424105291088795,,0.0985095928743558,0.6758574753754989,0.6611604150811075,,0.012327404365694107,,
AL,1994-05-01,1.1482460616875465,5.64,0.0,66.6,,0.028951271167152643,0.03479208594198258,-0.00584081477482994,,0.1003894696375075,0.6717231719734692,0.6570110018080458,,0.01231629571522416,,
AL,1994-06-01,1.3079593010828325,9.98,0.0,78.0,,0.029147846277747042,0.03488724823634286,-0.005739401958595815,,0.1022648768721103,0.6675986981450837,0.6528714540333238,,0.012305207067507404,,
AL,1994-07-01,1.4487359487061917,3.96,0.0,77.7,,0.029349491536429562,0.034988705251008785,-0.005639213714579223,,0.1041358304991273,0.6634840188762958,0.6487417366149271,,0.012296410747766209,,
AL,1994-08-01,1.4301311821286493,3.42,0.0,75.7,,0.02955084871070705,0.03509001731714532,-0.005539168606438267,,0.106002346363995,0.6593790993191609,0.64462181457755,,0.01228762699505761,,
AL,1994-09-01,1.2344745137618318,2.4,0.0,69.8,,0.02975191841750487,0.03519118474515601,-0.005439266327651135,,0.1078644402370703,0.6552839047908519,0.6405116531116081,,0.012278855782469634,,
AL,1994-10-01,1.1237973853409673,5.33,0.0,62.6,,0.029952701271988128,0.03529220784455875,-0.005339506572570621,,0.1097221278140753,0.6511984007726821,0.6364112175722578,,0.012270097083167087,,
AL,1994-11-01,1.0648080804689357,3.66,0.0,55.3,,0.03015319788756795,0.03539308692398892,-0.005239889036420965,,0.1115754247165377,0.6471225529091362,0.6323204734784224,,0.01226135087039129,,
AL,1994-12-01,1.1277656466537735,2.5,0.0,46.8,,0.030353408875907747,0.03549382229120255,-0.0051404134152948045,,0.1134243464922288,0.6430563270069068,0.6282393865118263,,0.01225261711745981,,
AL,1995-01-01,1.2699298442977036,3.52,0.1,41.4,,0.030372785153341787,0.035606630718597744,-0.005233845565255957,,0.1114224243450638,0.6456435703403693,0.630681328282644,,0.012243895797766179,,
AL,1995-02-01,1.1012675458616206,7.0,1.8,42.9,,0.030392133866621898,0.03571927866785843,-0.005327144801236532,,0.10943504828785,0.6482120146039942,0.6331055267537513,,0.012235186884779623,,
AL,1995-03-01,1.1248907178526473,3.31,0.0,54.6,,0.030411455074524286,0.03583176648117882,-0.005420311406654532,,0.1074620603552984,0.6507618639488975,0.6355121746109818,,0.012226490352044815,,
AL,1995-04-01,1.0325341561439372,4.47,0.0,61.5,,0.03043074883565815,0.03594409449978091,-0.005513345664122758,,0.1055033048611316,0.6532933195808475,0.637901461760234,,0.012217806173181571,,
AL,1995-05-01,1.245333542124229,3.38,0.0,69.2,,0.030450015208466286,0.036056263063917925,-0.00560624785545164,,0.1035586283571316,0.6558065798131898,0.6402735753774244,,0.012209134321884611,,
AL,1995-06-01,1.4188222572528915,4.59,0.0,73.5,,0.030469254251225722,0.036168272512877804,-0.005699018261652083,,0.1016278795930674,0.6583018401186368,0.6426286999573686,,0.012200474771923292,,
AL,1995-07-01,1.5716098408127328,4.16,0.0,79.2,,0.030489806793828962,0.03628171865277208,-0.005791911858943113,,0.0997109094774806,0.6607792931799471,0.6449670173616141,,0.01219236364934564,,
AL,1995-08-01,1.551504677980557,1.36,0.0,81.5,,0.030510332027095355,0.03639501405030281,-0.005884682023207455,,0.0978075710393076,0.6632391289395243,0.6472887068652541,,0.01218426330447968,,
AL,1995-09-01,1.339309724868325,4.59,0.0,71.9,,0.03053083000541997,0.036508159005720485,-0.005977329000300518,,0.0959177193903173,0.6656815346479618,0.6495939452027455,,0.012176173715858234,,
AL,1995-10-01,1.219294352723986,6.83,0.0,61.1,,0.030551300783053514,0.036621153818478754,-0.006069853035425239,,0.0940412116883453,0.6681066949115582,0.6518829066127563,,0.012168094862071094,,
AL,1995-11-01,1.1553498287169182,5.15,0.0,45.8,,0.03057174441410282,0.036733998787237036,-0.006162254373134217,,0.0921779071013026,0.6705147917388314,0.6541557628820669,,0.012160026721764843,,
AL,1995-12-01,1.2237215797762095,4.15,0.0,40.4,,0.030592160952531297,0.03684669420986315,-0.006254533257331852,,0.0903276667719434,0.6729060045860529,0.6564126833885471,,0.012151969273642654,,
AL,1996-01-01,1.3606855234382988,7.3,2.4,38.8,,0.030699897948035727,0.0368666276177657,-0.006166729669729975,,0.0904133543591687,0.6686443613925356,0.6519976442767087,,0.012143922496464113,,
AL,1996-02-01,1.1800282586065678,2.32,0.0,42.1,,0.0308074923556368,0.036886534644174816,-0.006079042288538018,,0.0904968867793606,0.6644899047031066,0.6476936497986706,,0.01213588636904503,,
AL,1996-03-01,1.2054005978479474,8.39,0.0,47.3,,0.030914944458215972,0.03690641534142899,-0.005991470883213014,,0.0905783443310693,0.6604386408965113,0.643496562584588,,0.012127860870257244,,
AL,1996-04-01,1.1064886652462318,5.89,0.0,57.9,,0.0310222545379069,0.036926269761728345,-0.005904015223821442,,0.0906578033726956,0.6564867723134944,0.6394024482801792,,0.012119845979028456,,
