state,date,monthly_emissions,co2_per_capita,prcp,snow,tavg,monthly_gdp_rel_2017,gdp_per_capita,monthly_energy_prod,eprod_per_capita,monthly_energy_use,eflow_per_capita,monthly_energy_flow,euse_per_capita,monthly_num_plants,monthly_renew_pct,monthly_fossil_pct,republican_vote_pct,monthly_pop_density,avg_facility_age
AL,1990-01-01,4262280.260670614,,,,,,,,,,,,,,,,,,
AL,1990-02-01,3698827.957809186,,,,,,,,,,,,,,,,,,
AL,1990-03-01,3780858.48018152,,,,,,,,,,,,,,,,,,
AL,1990-04-01,3472906.523250627,,,,,,,,,,,,,,,,,,
AL,1990-05-01,4191627.799241859,,,,,,,,,,,,,,,,,,
AL,1990-06-01,4778957.403696612,,,,,,,,,,,,,,,,,,
AL,1990-07-01,5297106.811175214,,,,,,,,,,,,,,,,,,
AL,1990-08-01,5232818.985715408,,,,,,,,,,,,,,,,,,
AL,1990-09-01,4520142.068005927,,,,,,,,,,,,,,,,,,
AL,1990-10-01,4117824.882941366,,,,,,,,,,,,,,,,,,
AL,1990-11-01,3904459.056932722,,,,,,,,,,,,,,,,,,
AL,1990-12-01,4138260.770378948,,,,,,,,,,,,,,,,13.14,,
AL,1991-01-01,4593486.246834533,,,,,,,,,,,,,,,,,,
AL,1991-02-01,3986250.155903714,,,,,,,,,,,,,,,,,,
AL,1991-03-01,4074654.965839576,,,,,,,,,,,,,,,,,,
AL,1991-04-01,3742773.204825281,,,,,,,,,,,,,,,,,,
AL,1991-05-01,4517343.644746013,,,,,,,,,,,,,,,,,,
AL,1991-06-01,5150312.4537931215,,,,,,,,,,,,,,,,,,
AL,1991-07-01,5708725.329412882,,,,,,,,,,,,,,,,,,
AL,1991-08-01,5639441.935541908,,,,,,,,,,,,,,,,,,
AL,1991-09-01,4871385.538560669,,,,,,,,,,,,,,,,,,
AL,1991-10-01,4437805.777625738,,,,,,,,,,,,,,,,,,
AL,1991-11-01,4207860.0848568175,,,,,,,,,,,,,,,,,,
AL,1991-12-01,4459829.662059751,,,,,,,,,,,,,,,,,,
AL,1992-01-01,4829073.021884905,,,,,,,,,,,,,,,,,,
AL,1992-02-01,4190693.528172556,,,,,,,,,,,,,,,,,,
AL,1992-03-01,4283632.368026562,,,,,,,,,,,,,,,,,,
AL,1992-04-01,3934729.340467869,,,,,,,,,,,,,,,,,,
AL,1992-05-01,4749025.283456347,,,,,,,,,,,,,,,,,,
AL,1992-06-01,5414457.252817399,,,,,,,,,,,,,,,,,,
AL,1992-07-01,6001509.528109798,,,,,,,,,,,,,,,,,,
AL,1992-08-01,5928672.7870751405,,,,,,,,,,,,,,,,,,
AL,1992-09-01,5121224.973662361,,,,,,,,,,,,,,,,,,
AL,1992-10-01,4665408.146560928,,,,,,,,,,,,,,,,,,
