state,date,monthly_emissions
AL,1990-01,4262280.260670614
AL,1990-02,3698827.957809186
AL,1990-03,3780858.4801815194
AL,1990-04,3472906.523250627
AL,1990-05,4191627.799241859
AL,1990-06,4778957.403696612
AL,1990-07,5297106.811175214
AL,1990-08,5232818.985715408
AL,1990-09,4520142.068005927
AL,1990-10,4117824.882941366
AL,1990-11,3904459.056932722
AL,1990-12,4138260.770378948
AL,1991-01,4593486.246834533
AL,1991-02,3986250.155903714
AL,1991-03,4074654.965839576
AL,1991-04,3742773.204825281
AL,1991-05,4517343.644746013
AL,1991-06,5150312.4537931215
AL,1991-07,5708725.329412882
AL,1991-08,5639441.935541908
AL,1991-09,4871385.538560669
AL,1991-10,4437805.777625738
AL,1991-11,4207860.0848568175
AL,1991-12,4459829.662059751
AL,1992-01,4829073.021884905
AL,1992-02,4190693.528172556
AL,1992-03,4283632.368026562
AL,1992-04,3934729.340467869
AL,1992-05,4749025.283456347
AL,1992-06,5414457.252817399
AL,1992-07,6001509.528109798
AL,1992-08,5928672.7870751405
AL,1992-09,5121224.973662361
AL,1992-10,4665408.146560928
AL,1992-11,4423669.19671336
AL,1992-12,4688561.573052778
AL,1993-01,5307908.067392215
AL,1993-02,4606228.956437099
AL,1993-03,4708383.306888938
AL,1993-04,4324884.199229246
AL,1993-05,5219923.057711082
AL,1993-06,5951337.079090606
AL,1993-07,6596599.532957834
AL,1993-08,6516540.539526107
AL,1993-09,5629028.848692526
AL,1993-10,5128014.71971577
AL,1993-11,4862305.728304001
AL,1993-12,5153463.964054571
AL,1994-01,4969766.887459125
AL,1994-02,4312788.362780239
AL,1994-03,4408434.953082786
AL,1994-04,4049366.720849135
AL,1994-05,4887386.9776803
AL,1994-06,5572206.145292815
AL,1994-07,6176362.045552308
AL,1994-08,6101403.223819025
AL,1994-09,5270430.615149751
AL,1994-10,4801333.675880198
AL,1994-11,4552551.720644273
AL,1994-12,4825161.671810047
AL,1995-01,5437283.469838451
AL,1995-02,4718501.572584976
AL,1995-03,4823145.841858608
AL,1995-04,4430299.294348545
AL,1995-05,5347153.906051969
AL,1995-06,6096395.474964224
AL,1995-07,6757385.6107341135
AL,1995-08,6675375.252590872
AL,1995-09,5766231.276359827
AL,1995-10,5253005.386413469
AL,1995-11,4980819.98145779
AL,1995-12,5279074.932797159
AL,1996-01,5873820.194090921
AL,1996-02,5097330.307798515
AL,1996-03,5210376.027313596
AL,1996-04,4785989.475326072
AL,1996-05,5776454.504994457
AL,1996-06,6585849.542450528
AL,1996-07,7299907.808700059
AL,1996-08,7211313.18227336
AL,1996-09,6229177.842715518
AL,1996-10,5674747.194907712
AL,1996-11,5380709.16341016
AL,1996-12,5702909.756019108
AL,1997-01,6519729.351
AL,1997-02,5453766.419
AL,1997-03,5161639.112
AL,1997-04,5475476.441000001
AL,1997-05,6544787.461
AL,1997-06,6319350.128
AL,1997-07,7822928.842
AL,1997-08,7627241.518
AL,1997-09,7321396.996
AL,1997-10,7473668.341999999
AL,1997-11,6521539.885
AL,1997-12,6918130.149
AL,1998-01,6119277.507
AL,1998-02,5491220.584
AL,1998-03,5835755.741
AL,1998-04,5440648.282000001
AL,1998-05,6606049.714
AL,1998-06,7481061.493
AL,1998-07,8269825.439
AL,1998-08,7822262.627
AL,1998-09,7287188.859
AL,1998-10,6852677.642
AL,1998-11,6293454.065
AL,1998-12,7057797.698
AL,1999-01,6297413.521
AL,1999-02,5429358.558
AL,1999-03,5862954.861
AL,1999-04,5851350.625
AL,1999-05,6666706.7069999995
AL,1999-06,8090670.0649999995
AL,1999-07,8740096.529
AL,1999-08,8559161.911
AL,1999-09,7665871.075
AL,1999-10,6958965.252
AL,1999-11,6750902.985
AL,1999-12,7104891.218
AL,2000-01,7390398.169
AL,2000-02,6265437.242
AL,2000-03,6824559.869
AL,2000-04,5774751.933
AL,2000-05,6758613.722
AL,2000-06,7713385.627
AL,2000-07,8478287.226
AL,2000-08,8745444.641
AL,2000-09,8104876.038
AL,2000-10,7650554.055
AL,2000-11,7112637.247
AL,2000-12,7987418.3
AL,2001-01,7593486.188
AL,2001-02,6210206.727
AL,2001-03,6238755.694999999
AL,2001-04,5427792.596
AL,2001-05,6860095.397
AL,2001-06,7441359.592
AL,2001-07,8394359.072
AL,2001-08,8571374.394
AL,2001-09,7326980.622
AL,2001-10,7021054.053
AL,2001-11,6392390.698
AL,2001-12,6306282.882
AL,2002-01,6781458.858999999
AL,2002-02,5756593.669
AL,2002-03,5607926.3149999995
AL,2002-04,5915372.608999999
AL,2002-05,6711504.711999999
AL,2002-06,8149562.813
AL,2002-07,9088176.439000001
AL,2002-08,8913495.042
AL,2002-09,8137151.7700000005
AL,2002-10,7733886.410999999
AL,2002-11,7234466.284
AL,2002-12,7204524.3319999995
AL,2003-01,7818992.242000001
AL,2003-02,6664515.716
AL,2003-03,6295557.954
AL,2003-04,5908440.544
AL,2003-05,7268748.136
AL,2003-06,8180062.045
AL,2003-07,8826467.138
AL,2003-08,9262383.304
AL,2003-09,8152403.374
AL,2003-10,7308311.5770000005
AL,2003-11,7036405.007999999
AL,2003-12,7306221.882999999
AL,2004-01,7168877.549
AL,2004-02,6171695.592
AL,2004-03,6386030.462
AL,2004-04,5813929.867
AL,2004-05,7716284.41
AL,2004-06,8191460.107
AL,2004-07,9070717.612
AL,2004-08,8566500.769
AL,2004-09,7105026.83
AL,2004-10,7452770.574
AL,2004-11,6774335.521
AL,2004-12,7248786.694
AL,2005-01,7828972.171
AL,2005-02,6443405.776000001
AL,2005-03,7296086.598999999
AL,2005-04,6049318.953
AL,2005-05,6848692.033
AL,2005-06,8058871.104
AL,2005-07,8634364.494
AL,2005-08,9225482.007000001
AL,2005-09,8368174.722
AL,2005-10,7514450.177
AL,2005-11,7221663.268
AL,2005-12,7982483.269
AL,2006-01,6765781.189
AL,2006-02,6502956.447
AL,2006-03,6876452.302
AL,2006-04,6674265.072
AL,2006-05,7724754.271000001
AL,2006-06,8606850.388
AL,2006-07,9113784.501
AL,2006-08,9505773.971
AL,2006-09,7776038.345
AL,2006-10,7504958.277
AL,2006-11,7345232.926
AL,2006-12,8016768.862
AL,2007-01,7078367.8610000005
AL,2007-02,7349789.498
AL,2007-03,7406522.963
AL,2007-04,7493187.226000001
AL,2007-05,8221754.183
AL,2007-06,8742463.974
AL,2007-07,9099781.571
AL,2007-08,9658032.277
AL,2007-09,8284775.634
AL,2007-10,7408600.083
AL,2007-11,6611471.551
AL,2007-12,7448840.585
AL,2008-01,7785355.525
AL,2008-02,6717322.766
AL,2008-03,7140233.705
AL,2008-04,6824353.512
AL,2008-05,7442295.774999999
AL,2008-06,8540067.601
AL,2008-07,9097500.596
AL,2008-08,8327620.561
AL,2008-09,7486116.879
AL,2008-10,6684202.686
AL,2008-11,6728543.537
AL,2008-12,6653195.103999999
AL,2009-01,7003955.835
AL,2009-02,6209051.738
AL,2009-03,5630505.426
AL,2009-04,4955274.1389999995
AL,2009-05,5906168.206
AL,2009-06,6667470.85
AL,2009-07,6970340.1219999995
AL,2009-08,7434985.902
AL,2009-09,6495568.455
AL,2009-10,5634004.3
AL,2009-11,5319192.262
AL,2009-12,5807261.004
AL,2010-01,7254934.728
AL,2010-02,6439573.225
AL,2010-03,6411017.779
AL,2010-04,5843514.419
AL,2010-05,7589012.001
AL,2010-06,8404269.617
AL,2010-07,8803007.621
AL,2010-08,8288925.904999999
AL,2010-09,7120857.8
AL,2010-10,5995722.6049999995
AL,2010-11,5873101.451
AL,2010-12,7147269.782
AL,2011-01,7727515.742
AL,2011-02,6418902.184
AL,2011-03,6440696.858999999
AL,2011-04,5271426.509000001
AL,2011-05,7084053.964
AL,2011-06,8592682.348
AL,2011-07,9259355.846
AL,2011-08,9137519.813
AL,2011-09,6401589.062
AL,2011-10,6238039.308999999
AL,2011-11,5946977.8780000005
AL,2011-12,5896700.903
AL,2012-01,5536228.913000001
AL,2012-02,4764995.1790000005
AL,2012-03,4923039.03
AL,2012-04,5220031.149
AL,2012-05,6253502.9690000005
AL,2012-06,7405922.274
AL,2012-07,8866398.609
AL,2012-08,8194157.993
AL,2012-09,6586484.314
AL,2012-10,5736819.61
AL,2012-11,6149281.242
AL,2012-12,6247130.055
AL,2013-01,5713028.505
AL,2013-02,5479073.586
AL,2013-03,5930992.653
AL,2013-04,5577084.404999999
AL,2013-05,5904413.124
AL,2013-06,6726725.61
AL,2013-07,6786001.96
AL,2013-08,7427615.549000001
AL,2013-09,6642431.395
AL,2013-10,6267898.295
AL,2013-11,5779443.077
AL,2013-12,5927471.712
AL,2014-01,6933679.686
AL,2014-02,5856417.271
AL,2014-03,5620680.660999999
AL,2014-04,4857422.791
AL,2014-05,6438702.603
AL,2014-06,7123956.321
AL,2014-07,7643910.826
AL,2014-08,7742951.607
AL,2014-09,6429798.378
AL,2014-10,5388896.407
AL,2014-11,5410254.675
AL,2014-12,5708401.612
AL,2015-01,5930309.056
AL,2015-02,5806813.086
AL,2015-03,5039597.088
AL,2015-04,4537904.571
AL,2015-05,6291059.667
AL,2015-06,7418880.477
AL,2015-07,8048286.837
AL,2015-08,7500375.153
AL,2015-09,6762482.694
AL,2015-10,5551253.879
AL,2015-11,4996810.257
AL,2015-12,5060597.3889999995
AL,2016-01,5028021.021
AL,2016-02,4513099.593
AL,2016-03,4692930.558
AL,2016-04,3876384.954
AL,2016-05,4847922.473999999
AL,2016-06,5953594.26
AL,2016-07,7173735.736
AL,2016-08,7066029.706
AL,2016-09,6491325.355
AL,2016-10,5575244.833
AL,2016-11,5024612.0540000005
AL,2016-12,5260627.131
AL,2017-01,4561836.9860000005
AL,2017-02,4425687.771
AL,2017-03,4963766.203000001
AL,2017-04,4591517.666
AL,2017-05,5069670.726
AL,2017-06,5424402.204
AL,2017-07,6977361.335
AL,2017-08,6242861.738
AL,2017-09,4606486.1
AL,2017-10,4708842.227
AL,2017-11,4228819.195
AL,2017-12,5082328.873
AL,2018-01,6475094.981
AL,2018-02,4218371.7190000005
AL,2018-03,4522072.882
AL,2018-04,4503895.645
AL,2018-05,5211844.665
AL,2018-06,6085882.923
AL,2018-07,6695740.041
AL,2018-08,6269787.735
AL,2018-09,5559824.075
AL,2018-10,4557578.0
AL,2018-11,3911509.155
AL,2018-12,4159329.3559999997
AL,2019-01,5107773.453
AL,2019-02,4187464.5250000004
AL,2019-03,4244622.979
AL,2019-04,3491049.055
AL,2019-05,4491864.412
AL,2019-06,4962445.298
AL,2019-07,5558444.909
AL,2019-08,5738466.351
AL,2019-09,5431474.507
AL,2019-10,4748005.266
AL,2019-11,4377661.1620000005
AL,2019-12,3956482.963
AL,2020-01,4187975.178
AL,2020-02,3345148.443
AL,2020-03,3572674.5949999997
AL,2020-04,2409853.445
AL,2020-05,3212924.497
AL,2020-06,4874218.2809999995
AL,2020-07,5750104.08
AL,2020-08,5470415.698
AL,2020-09,4844756.793
AL,2020-10,4103131.411
AL,2020-11,3598664.926
AL,2020-12,4207355.762
AL,2021-01,4472856.972
AL,2021-02,4450571.127
AL,2021-03,4219392.829
AL,2021-04,3290861.8619999997
AL,2021-05,3909034.0889999997
AL,2021-06,4508979.491
AL,2021-07,5707891.832
AL,2021-08,5848749.443
AL,2021-09,4638229.232
AL,2021-10,4118573.517
AL,2021-11,4661293.598
AL,2021-12,4381195.341
AL,2022-01,4953546.982
AL,2022-02,4263569.125
AL,2022-03,3947311.7970000003
AL,2022-04,3652702.46
AL,2022-05,4971257.586
AL,2022-06,5534678.724
AL,2022-07,6075815.1219999995
AL,2022-08,5564413.31
AL,2022-09,4953317.831
AL,2022-10,4480792.6559999995
AL,2022-11,4269258.8780000005
AL,2022-12,4852636.624
AL,2023-01,3996243.706
AL,2023-02,3335200.74
AL,2023-03,3790884.423
AL,2023-04,3381350.383
AL,2023-05,3784209.8269999996
AL,2023-06,4862380.858
AL,2023-07,5681498.436
AL,2023-08,5508103.32
AL,2023-09,4191059.584
AL,2023-10,3428615.793
AL,2023-11,3951011.3030000003
