state,date,monthly_population,yearly_population
AL,1990-01,,4050055
AL,1990-02,,4050055
AL,1990-03,,4050055
AL,1990-04,,4050055
AL,1990-05,,4050055
AL,1990-06,4050055.0,4050055
AL,1990-07,4054146.75,4050055
AL,1990-08,4058238.5,4050055
AL,1990-09,4062330.25,4050055
AL,1990-10,4066422.0,4050055
AL,1990-11,4070513.75,4050055
AL,1990-12,4074605.5,4050055
AL,1991-01,4078697.25,4099156
AL,1991-02,4082789.0,4099156
AL,1991-03,4086880.75,4099156
AL,1991-04,4090972.5,4099156
AL,1991-05,4095064.25,4099156
AL,1991-06,4099156.0,4099156
AL,1991-07,4103727.5,4099156
AL,1991-08,4108299.0,4099156
AL,1991-09,4112870.5,4099156
AL,1991-10,4117442.0,4099156
AL,1991-11,4122013.5,4099156
AL,1991-12,4126585.0,4099156
AL,1992-01,4131156.5,4154014
AL,1992-02,4135728.0,4154014
AL,1992-03,4140299.5,4154014
AL,1992-04,4144871.0,4154014
AL,1992-05,4149442.5,4154014
AL,1992-06,4154014.0,4154014
AL,1992-07,4159029.6666666665,4154014
AL,1992-08,4164045.3333333335,4154014
AL,1992-09,4169061.0,4154014
AL,1992-10,4174076.6666666665,4154014
AL,1992-11,4179092.3333333335,4154014
AL,1992-12,4184108.0,4154014
AL,1993-01,4189123.6666666665,4214202
AL,1993-02,4194139.3333333335,4214202
AL,1993-03,4199155.0,4214202
AL,1993-04,4204170.666666667,4214202
AL,1993-05,4209186.333333333,4214202
AL,1993-06,4214202.0,4214202
AL,1993-07,4218037.583333333,4214202
AL,1993-08,4221873.166666667,4214202
AL,1993-09,4225708.75,4214202
AL,1993-10,4229544.333333333,4214202
AL,1993-11,4233379.916666667,4214202
AL,1993-12,4237215.5,4214202
AL,1994-01,4241051.083333333,4260229
AL,1994-02,4244886.666666667,4260229
AL,1994-03,4248722.25,4260229
AL,1994-04,4252557.833333333,4260229
AL,1994-05,4256393.416666667,4260229
AL,1994-06,4260229.0,4260229
AL,1994-07,4263276.583333333,4260229
AL,1994-08,4266324.166666667,4260229
AL,1994-09,4269371.75,4260229
AL,1994-10,4272419.333333333,4260229
AL,1994-11,4275466.916666667,4260229
AL,1994-12,4278514.5,4260229
AL,1995-01,4281562.083333333,4296800
AL,1995-02,4284609.666666667,4296800
AL,1995-03,4287657.25,4296800
AL,1995-04,4290704.833333333,4296800
AL,1995-05,4293752.416666667,4296800
AL,1995-06,4296800.0,4296800
AL,1995-07,4299658.5,4296800
AL,1995-08,4302517.0,4296800
AL,1995-09,4305375.5,4296800
AL,1995-10,4308234.0,4296800
AL,1995-11,4311092.5,4296800
AL,1995-12,4313951.0,4296800
AL,1996-01,4316809.5,4331102
AL,1996-02,4319668.0,4331102
AL,1996-03,4322526.5,4331102
AL,1996-04,4325385.0,4331102
AL,1996-05,4328243.5,4331102
AL,1996-06,4331102.0,4331102
AL,1996-07,4334171.416666667,4331102
AL,1996-08,4337240.833333333,4331102
AL,1996-09,4340310.25,4331102
AL,1996-10,4343379.666666667,4331102
AL,1996-11,4346449.083333333,4331102
AL,1996-12,4349518.5,4331102
AL,1997-01,4352587.916666667,4367935
AL,1997-02,4355657.333333333,4367935
AL,1997-03,4358726.75,4367935
AL,1997-04,4361796.166666667,4367935
AL,1997-05,4364865.583333333,4367935
AL,1997-06,4367935.0,4367935
AL,1997-07,4370998.833333333,4367935
AL,1997-08,4374062.666666667,4367935
AL,1997-09,4377126.5,4367935
AL,1997-10,4380190.333333333,4367935
AL,1997-11,4383254.166666667,4367935
AL,1997-12,4386318.0,4367935
AL,1998-01,4389381.833333333,4404701
AL,1998-02,4392445.666666667,4404701
AL,1998-03,4395509.5,4404701
AL,1998-04,4398573.333333333,4404701
AL,1998-05,4401637.166666667,4404701
AL,1998-06,4404701.0,4404701
AL,1998-07,4406821.0,4404701
AL,1998-08,4408941.0,4404701
AL,1998-09,4411061.0,4404701
AL,1998-10,4413181.0,4404701
AL,1998-11,4415301.0,4404701
AL,1998-12,4417421.0,4404701
AL,1999-01,4419541.0,4430141
AL,1999-02,4421661.0,4430141
AL,1999-03,4423781.0,4430141
AL,1999-04,4425901.0,4430141
AL,1999-05,4428021.0,4430141
AL,1999-06,4430141.0,4430141
AL,1999-07,4431977.0,4430141
AL,1999-08,4433813.0,4430141
AL,1999-09,4435649.0,4430141
AL,1999-10,4437485.0,4430141
AL,1999-11,4439321.0,4430141
AL,1999-12,4441157.0,4430141
AL,2000-01,4442993.0,4452173
AL,2000-02,4444829.0,4452173
AL,2000-03,4446665.0,4452173
AL,2000-04,4448501.0,4452173
AL,2000-05,4450337.0,4452173
AL,2000-06,4452173.0,4452173
AL,2000-07,4453461.416666667,4452173
AL,2000-08,4454749.833333333,4452173
AL,2000-09,4456038.25,4452173
AL,2000-10,4457326.666666667,4452173
AL,2000-11,4458615.083333333,4452173
AL,2000-12,4459903.5,4452173
AL,2001-01,4461191.916666667,4467634
AL,2001-02,4462480.333333333,4467634
AL,2001-03,4463768.75,4467634
AL,2001-04,4465057.166666667,4467634
AL,2001-05,4466345.583333333,4467634
AL,2001-06,4467634.0,4467634
AL,2001-07,4468671.916666667,4467634
AL,2001-08,4469709.833333333,4467634
AL,2001-09,4470747.75,4467634
AL,2001-10,4471785.666666667,4467634
AL,2001-11,4472823.583333333,4467634
AL,2001-12,4473861.5,4467634
AL,2002-01,4474899.416666667,4480089
