state,date,monthly_num_plants,yearly_num_plants,total_facility_age,total_weighted_facility_age
AL,1997-01,11,10,95,53682875.75
AR,1997-01,7,6,7,2431836.75
AZ,1997-01,7,9,7,3081471.0
CA,1997-01,24,24,24,1598348.25
CO,1997-01,14,14,14,3038572.27
CT,1997-01,7,6,7,1285423.75
DC,1997-01,1,0,1,452.25
DE,1997-01,5,4,5,554200.75
FL,1997-01,46,46,118,42572737.0
GA,1997-01,15,13,267,125419178.5
IA,1997-01,20,21,140,22441726.25
ID,1997-01,1,1,1,1524.25
IL,1997-01,25,26,313,106704605.75
IN,1997-01,23,23,359,187459286.25
KS,1997-01,13,13,61,24209004.75
KY,1997-01,22,20,310,145090338.25
LA,1997-01,19,20,19,3722755.0
MA,1997-01,10,10,70,30356281.0
MD,1997-01,11,11,107,34625069.5
ME,1997-01,1,2,1,112970.0
MI,1997-01,24,24,120,41433339.75
MN,1997-01,12,12,60,44363292.0
MO,1997-01,18,18,318,135033585.0
MS,1997-01,10,9,82,24837149.0
MT,1997-01,3,3,3,1073921.25
NC,1997-01,15,15,15,5654225.0
ND,1997-01,7,7,7,2459943.0
NE,1997-01,8,9,8,1775753.75
NH,1997-01,3,3,51,12047235.25
NJ,1997-01,10,11,34,5822751.75
NM,1997-01,7,7,7,2979272.5
NV,1997-01,6,6,6,1794184.0
NY,1997-01,29,30,209,43803741.5
OH,1997-01,23,24,407,259882992.5
OK,1997-01,12,12,12,3671837.75
OR,1997-01,3,3,3,266204.0
PA,1997-01,25,24,307,159048886.5
RI,1997-01,1,1,1,197752.25
SC,1997-01,12,13,12,2925245.0
SD,1997-01,3,2,3,245272.5
TN,1997-01,7,7,103,90317269.0
TX,1997-01,81,82,81,19205612.0
UT,1997-01,5,5,5,3069741.5
VA,1997-01,9,10,9,3015265.5
VT,1997-01,1,1,1,18464.25
WA,1997-01,1,2,1,611066.0
WI,1997-01,21,22,261,56077258.5
WV,1997-01,13,13,217,132769517.5
WY,1997-01,6,6,54,41672845.75
AL,1997-02,11,10,106,51652397.0
AR,1997-02,5,6,10,3930478.0
