,year,month,state,monthly_num_plants,total_facility_age,total_weighted_facility_age,date,yearly_num_plants
0,1997,1,AL,11,95,53682875.75,1997-01,10
1,1997,1,AR,7,7,2431836.75,1997-01,6
2,1997,1,AZ,7,7,3081471.0,1997-01,9
3,1997,1,CA,24,24,1598348.25,1997-01,24
4,1997,1,CO,14,14,3038572.27,1997-01,14
5,1997,1,CT,7,7,1285423.75,1997-01,6
6,1997,1,DC,1,1,452.25,1997-01,0
7,1997,1,DE,5,5,554200.75,1997-01,4
8,1997,1,FL,46,118,42572737.0,1997-01,46
9,1997,1,GA,15,267,125419178.5,1997-01,13
10,1997,1,IA,20,140,22441726.25,1997-01,21
11,1997,1,ID,1,1,1524.25,1997-01,1
12,1997,1,IL,25,313,106704605.75,1997-01,26
13,1997,1,IN,23,359,187459286.25,1997-01,23
14,1997,1,KS,13,61,24209004.75,1997-01,13
15,1997,1,KY,22,310,145090338.25,1997-01,20
16,1997,1,LA,19,19,3722755.0,1997-01,20
17,1997,1,MA,10,70,30356281.0,1997-01,10
18,1997,1,MD,11,107,34625069.5,1997-01,11
19,1997,1,ME,1,1,112970.0,1997-01,2
20,1997,1,MI,24,120,41433339.75,1997-01,24
21,1997,1,MN,12,60,44363292.0,1997-01,12
22,1997,1,MO,18,318,135033585.0,1997-01,18
23,1997,1,MS,10,82,24837149.0,1997-01,9
24,1997,1,MT,3,3,1073921.25,1997-01,3
25,1997,1,NC,15,15,5654225.0,1997-01,15
26,1997,1,ND,7,7,2459943.0,1997-01,7
27,1997,1,NE,8,8,1775753.75,1997-01,9
28,1997,1,NH,3,51,12047235.25,1997-01,3
29,1997,1,NJ,10,34,5822751.75,1997-01,11
30,1997,1,NM,7,7,2979272.5,1997-01,7
31,1997,1,NV,6,6,1794184.0,1997-01,6
32,1997,1,NY,29,209,43803741.5,1997-01,30
33,1997,1,OH,23,407,259882992.5,1997-01,24
34,1997,1,OK,12,12,3671837.75,1997-01,12
35,1997,1,OR,3,3,266204.0,1997-01,3
36,1997,1,PA,25,307,159048886.5,1997-01,24
37,1997,1,RI,1,1,197752.25,1997-01,1
38,1997,1,SC,12,12,2925245.0,1997-01,13
39,1997,1,SD,3,3,245272.5,1997-01,2
40,1997,1,TN,7,103,90317269.0,1997-01,7
41,1997,1,TX,81,81,19205612.0,1997-01,82
42,1997,1,UT,5,5,3069741.5,1997-01,5
43,1997,1,VA,9,9,3015265.5,1997-01,10
44,1997,1,VT,1,1,18464.25,1997-01,1
45,1997,1,WA,1,1,611066.0,1997-01,2
46,1997,1,WI,21,261,56077258.5,1997-01,22
47,1997,1,WV,13,217,132769517.5,1997-01,13
48,1997,1,WY,6,54,41672845.75,1997-01,6
49,1997,2,AL,11,106,51652397.0,1997-02,10
50,1997,2,AR,5,10,3930478.0,1997-02,6
51,1997,2,AZ,7,14,5127549.5,1997-02,9
52,1997,2,CA,23,46,2745851.5,1997-02,24
53,1997,2,CO,14,28,5186723.140000001,1997-02,14
54,1997,2,CT,7,14,2214642.0,1997-02,6
55,1997,2,DC,1,2,438.5,1997-02,0
56,1997,2,DE,4,8,961609.5,1997-02,4
57,1997,2,FL,44,160,41223511.5,1997-02,46
58,1997,2,GA,13,254,101792148.5,1997-02,13
59,1997,2,IA,20,160,20442029.5,1997-02,21
60,1997,2,ID,1,2,0.0,1997-02,1
