state,date,republican_vote_pct
AZ,1976-12-01,8.67
CA,1976-12-01,10.04
CT,1976-12-01,14.43
DE,1976-12-01,11.16
FL,1976-12-01,12.34
HI,1976-12-01,8.12
IN,1976-12-01,14.76
MA,1976-12-01,5.8
MD,1976-12-01,12.95
ME,1976-12-01,19.9
MI,1976-12-01,6.69
MN,1976-12-01,4.17
MO,1976-12-01,18.98
MT,1976-12-01,17.92
ND,1976-12-01,12.18
NE,1976-12-01,11.77
NJ,1976-12-01,7.61
NM,1976-12-01,14.2
NV,1976-12-01,6.29
NY,1976-12-01,4.21
OH,1976-12-01,7.75
PA,1976-12-01,7.48
RI,1976-12-01,19.25
TN,1976-12-01,7.84
TX,1976-12-01,10.56
UT,1976-12-01,13.9
VT,1976-12-01,12.49
WA,1976-12-01,4.04
WI,1976-12-01,3.85
WY,1976-12-01,27.29
AK,1978-12-01,25.2
AL,1978-12-01,7.74
AR,1978-12-01,4.08
CO,1978-12-01,14.67
DE,1978-12-01,13.67
GA,1978-12-01,8.43
IA,1978-12-01,12.78
ID,1978-12-01,34.22
IL,1978-12-01,8.89
KS,1978-12-01,13.47
KY,1978-12-01,9.22
MA,1978-12-01,14.95
ME,1978-12-01,11.32
MI,1978-12-01,15.95
MN,1978-12-01,8.42
MS,1978-12-01,11.32
MT,1978-12-01,22.16
NC,1978-12-01,27.26
NE,1978-12-01,16.17
NH,1978-12-01,16.9
NJ,1978-12-01,3.92
NM,1978-12-01,26.7
OK,1978-12-01,5.48
OR,1978-12-01,20.55
RI,1978-12-01,12.44
SC,1978-12-01,27.84
SD,1978-12-01,33.42
TN,1978-12-01,11.11
TX,1978-12-01,9.96
VA,1978-12-01,16.72
WV,1978-12-01,24.76
WY,1978-12-01,18.92
AK,1980-12-01,17.9
AL,1980-12-01,7.16
AR,1980-12-01,13.62
AZ,1980-12-01,8.24
CA,1980-12-01,7.43
CO,1980-12-01,12.17
CT,1980-12-01,8.58
FL,1980-12-01,17.22
GA,1980-12-01,25.44
HI,1980-12-01,6.14
IA,1980-12-01,10.7
ID,1980-12-01,16.58
IL,1980-12-01,5.31
IN,1980-12-01,26.89
KS,1980-12-01,31.88
KY,1980-12-01,17.44
LA,1980-12-01,0.57
MD,1980-12-01,33.08
MO,1980-12-01,15.89
NC,1980-12-01,12.49
NH,1980-12-01,17.38
NV,1980-12-01,19.76
NY,1980-12-01,3.78
OH,1980-12-01,7.06
OK,1980-12-01,10.69
OR,1980-12-01,13.03
PA,1980-12-01,8.41
SC,1980-12-01,14.82
SD,1980-12-01,19.4
UT,1980-12-01,18.41
VT,1980-12-01,9.7
WA,1980-12-01,27.09
WI,1980-12-01,8.37
AZ,1982-12-01,10.08
CA,1982-12-01,10.31
CT,1982-12-01,12.6
DE,1982-12-01,13.79
FL,1982-12-01,12.75
HI,1982-12-01,5.66
IN,1982-12-01,17.94
MA,1982-12-01,9.56
MD,1982-12-01,18.27
ME,1982-12-01,13.04
MI,1982-12-01,5.84
MN,1982-12-01,10.52
MO,1982-12-01,16.95
MS,1982-12-01,17.9
MT,1982-12-01,13.89
ND,1982-12-01,11.34
NE,1982-12-01,7.14
NJ,1982-12-01,5.97
NM,1982-12-01,23.11
NV,1982-12-01,25.6
NY,1982-12-01,3.56
OH,1982-12-01,10.28
PA,1982-12-01,11.86
RI,1982-12-01,25.6
TN,1982-12-01,12.69
TX,1982-12-01,8.1
UT,1982-12-01,14.57
VA,1982-12-01,17.06
VT,1982-12-01,7.18
WA,1982-12-01,6.07
WI,1982-12-01,6.83
WV,1982-12-01,10.25
WY,1982-12-01,28.33
AK,1984-12-01,23.72
AL,1984-12-01,12.12
AR,1984-12-01,21.33
CO,1984-12-01,12.85
DE,1984-12-01,19.94
GA,1984-12-01,6.69
IA,1984-12-01,10.91
ID,1984-12-01,24.06
IL,1984-12-01,6.89
KS,1984-12-01,12.66
KY,1984-12-01,16.64
MA,1984-12-01,14.98
ME,1984-12-01,18.34
MI,1984-12-01,4.72
MN,1984-12-01,9.68
MS,1984-12-01,30.47
MT,1984-12-01,13.57
NC,1984-12-01,12.92
NE,1984-12-01,16.01
NH,1984-12-01,19.58
NJ,1984-12-01,4.98
NM,1984-12-01,23.97
OK,1984-12-01,7.81
OR,1984-12-01,22.18
RI,1984-12-01,13.67
