state,republican_votes,total_votes,republican_vote_pct,date
AZ,321236,3706050,8.67,1976-12-01
CA,3748973,37352930,10.04,1976-12-01
CT,785683,5446664,14.43,1976-12-01
DE,125454,1123975,11.16,1976-12-01
FL,1057886,8572602,12.34,1976-12-01
HI,122724,1510460,8.12,1976-12-01
IN,1275833,8644748,14.76,1976-12-01
MA,722641,12456275,5.8,1976-12-01
MD,530439,4095870,12.95,1976-12-01
ME,193489,972386,19.9,1976-12-01
MI,1635087,24432884,6.69,1976-12-01
MN,478602,11472120,4.17,1976-12-01
MO,1090067,5743380,18.98,1976-12-01
MT,115213,642890,17.92,1976-12-01
ND,103466,849186,12.18,1976-12-01
NE,279284,2373240,11.77,1976-12-01
NJ,1054508,13856950,7.61,1976-12-01
NM,234681,1652224,14.2,1976-12-01
NV,63471,1009495,6.29,1976-12-01
NY,2525139,60001875,4.21,1976-12-01
OH,1823774,23523678,7.75,1976-12-01
PA,2381891,31824471,7.48,1976-12-01
RI,230329,1196718,19.25,1976-12-01
TN,673231,8592276,7.84,1976-12-01
TX,1636370,15496920,10.56,1976-12-01
UT,290221,2088432,13.9,1976-12-01
VT,94481,756240,12.49,1976-12-01
WA,361546,8946666,4.04,1976-12-01
WI,521902,13546281,3.85,1976-12-01
WY,84810,310736,27.29,1976-12-01
AK,92783,368223,25.2,1978-12-01
AL,316170,4083378,7.74,1978-12-01
AR,84308,2068552,4.08,1978-12-01
CO,480801,3277024,14.67,1978-12-01
DE,66479,486216,13.67,1978-12-01
GA,108808,1290256,8.43,1978-12-01
IA,421598,3298304,12.78,1978-12-01
ID,194412,568094,34.22,1978-12-01
IL,1698711,19108584,8.89,1978-12-01
KS,403354,2995356,13.47,1978-12-01
KY,175766,1907132,9.22,1978-12-01
MA,890584,5957100,14.95,1978-12-01
ME,212294,1875570,11.32,1978-12-01
MI,1362165,8539890,15.95,1978-12-01
MN,1852000,21995232,8.42,1978-12-01
MS,267302,2360944,11.32,1978-12-01
MT,127589,575884,22.16,1978-12-01
NC,619151,2271628,27.26,1978-12-01
NE,159706,987604,16.17,1978-12-01
NH,133745,791280,16.9,1978-12-01
NJ,844200,21532665,3.92,1978-12-01
NM,183442,686974,26.7,1978-12-01
OK,247857,4525584,5.48,1978-12-01
OR,550165,2677554,20.55,1978-12-01
RI,76061,611236,12.44,1978-12-01
SC,351917,1264126,27.84,1978-12-01
SD,170832,511198,33.42,1978-12-01
TN,642644,5785470,11.11,1978-12-01
TX,1151376,11562700,9.96,1978-12-01
VA,613232,3666768,16.72,1978-12-01
WV,244317,986702,24.76,1978-12-01
WY,50456,266728,18.92,1978-12-01
AK,84159,470286,17.9,1980-12-01
AL,650362,9077299,7.16,1980-12-01
AR,330576,2426436,13.62,1980-12-01
AZ,432371,5245428,8.24,1980-12-01
CA,3091671,41620060,7.43,1980-12-01
CO,571295,4692568,12.17,1980-12-01
CT,581884,6780375,8.58,1980-12-01
FL,1822460,10584084,17.22,1980-12-01
GA,803686,3159658,25.44,1980-12-01
HI,53068,864018,6.14,1980-12-01
IA,683014,6384930,10.7,1980-12-01
ID,218701,1318941,16.58,1980-12-01
IL,1946296,36640232,5.31,1980-12-01
IN,1182414,4396752,26.89,1980-12-01
KS,598686,1877914,31.88,1980-12-01
KY,386029,2213840,17.44,1980-12-01
LA,23947,4205065,0.57,1980-12-01
MD,850970,2572176,33.08,1980-12-01
MO,985399,6200895,15.89,1980-12-01
NC,898064,7190660,12.49,1980-12-01
NH,195559,1125180,17.38,1980-12-01
NV,144224,729819,19.76,1980-12-01
NY,2272082,60149140,3.78,1980-12-01
OH,1137695,16109212,7.06,1980-12-01
OK,587252,5491470,10.69,1980-12-01
OR,594290,4561976,13.03,1980-12-01
PA,2230404,26508252,8.41,1980-12-01
SC,257946,1741000,14.82,1980-12-01
SD,190594,982434,19.4,1980-12-01
UT,437675,2377192,18.41,1980-12-01
VT,101421,1045620,9.7,1980-12-01
WA,936317,3456738,27.09,1980-12-01
WI,1106311,13225212,8.37,1980-12-01
AZ,291749,2895540,10.08,1982-12-01
CA,4022565,39027250,10.31,1982-12-01
CT,545987,4334032,12.6,1982-12-01
DE,105357,763840,13.79,1982-12-01
FL,1015330,7960257,12.75,1982-12-01
HI,52071,919230,5.66,1982-12-01
IN,978301,5451861,17.94,1982-12-01
MA,784602,8203076,9.56,1982-12-01
MD,407334,2229380,18.27,1982-12-01
ME,179882,1379145,13.04,1982-12-01
MI,1223288,20960338,5.84,1982-12-01
MN,949207,9023375,10.52,1982-12-01
MO,784876,4630563,16.95,1982-12-01
MS,230927,1290052,17.9,1982-12-01
MT,133789,963186,13.89,1982-12-01
ND,89304,787395,11.34,1982-12-01
NE,155760,2182588,7.14,1982-12-01
NJ,1047626,17551560,5.97,1982-12-01
