,state,date,total_co2
0,AL,1990-01-01,4262280.260670614
1,AL,1990-02-01,3698827.957809186
2,AL,1990-03-01,3780858.4801815194
3,AL,1990-04-01,3472906.523250627
4,AL,1990-05-01,4191627.799241859
5,AL,1990-06-01,4778957.403696612
6,AL,1990-07-01,5297106.811175214
7,AL,1990-08-01,5232818.985715408
8,AL,1990-09-01,4520142.068005927
9,AL,1990-10-01,4117824.882941366
10,AL,1990-11-01,3904459.056932722
11,AL,1990-12-01,4138260.770378948
12,AL,1991-01-01,4593486.246834533
13,AL,1991-02-01,3986250.155903714
14,AL,1991-03-01,4074654.965839576
15,AL,1991-04-01,3742773.204825281
16,AL,1991-05-01,4517343.644746013
17,AL,1991-06-01,5150312.4537931215
18,AL,1991-07-01,5708725.329412882
19,AL,1991-08-01,5639441.935541908
20,AL,1991-09-01,4871385.538560669
21,AL,1991-10-01,4437805.777625738
22,AL,1991-11-01,4207860.0848568175
23,AL,1991-12-01,4459829.662059751
24,AL,1992-01-01,4829073.021884905
25,AL,1992-02-01,4190693.528172556
26,AL,1992-03-01,4283632.368026562
27,AL,1992-04-01,3934729.340467869
28,AL,1992-05-01,4749025.283456347
29,AL,1992-06-01,5414457.252817399
30,AL,1992-07-01,6001509.528109798
31,AL,1992-08-01,5928672.7870751405
32,AL,1992-09-01,5121224.973662361
33,AL,1992-10-01,4665408.146560928
34,AL,1992-11-01,4423669.19671336
35,AL,1992-12-01,4688561.573052778
36,AL,1993-01-01,5307908.067392215
37,AL,1993-02-01,4606228.956437099
38,AL,1993-03-01,4708383.306888938
39,AL,1993-04-01,4324884.199229246
40,AL,1993-05-01,5219923.057711082
41,AL,1993-06-01,5951337.079090606
42,AL,1993-07-01,6596599.532957834
43,AL,1993-08-01,6516540.539526107
44,AL,1993-09-01,5629028.848692526
45,AL,1993-10-01,5128014.71971577
46,AL,1993-11-01,4862305.728304001
47,AL,1993-12-01,5153463.964054571
48,AL,1994-01-01,4969766.887459125
49,AL,1994-02-01,4312788.362780239
50,AL,1994-03-01,4408434.953082786
51,AL,1994-04-01,4049366.720849135
52,AL,1994-05-01,4887386.9776803
53,AL,1994-06-01,5572206.145292815
54,AL,1994-07-01,6176362.045552308
55,AL,1994-08-01,6101403.223819025
56,AL,1994-09-01,5270430.615149751
57,AL,1994-10-01,4801333.675880198
58,AL,1994-11-01,4552551.720644273
59,AL,1994-12-01,4825161.671810047
60,AL,1995-01-01,5437283.469838451
61,AL,1995-02-01,4718501.572584976
62,AL,1995-03-01,4823145.841858608
63,AL,1995-04-01,4430299.294348545
64,AL,1995-05-01,5347153.906051969
65,AL,1995-06-01,6096395.474964224
66,AL,1995-07-01,6757385.6107341135
67,AL,1995-08-01,6675375.252590872
68,AL,1995-09-01,5766231.276359827
69,AL,1995-10-01,5253005.386413469
70,AL,1995-11-01,4980819.98145779
71,AL,1995-12-01,5279074.932797159
72,AL,1996-01-01,5873820.194090921
73,AL,1996-02-01,5097330.307798515
74,AL,1996-03-01,5210376.027313596
75,AL,1996-04-01,4785989.475326072
76,AL,1996-05-01,5776454.504994457
77,AL,1996-06-01,6585849.542450528
78,AL,1996-07-01,7299907.808700059
79,AL,1996-08-01,7211313.18227336
80,AL,1996-09-01,6229177.842715518
81,AL,1996-10-01,5674747.194907712
82,AL,1996-11-01,5380709.16341016
83,AL,1996-12-01,5702909.756019108
84,AL,1997-01-01,6519729.351
85,AL,1997-02-01,5453766.419
86,AL,1997-03-01,5161639.112
87,AL,1997-04-01,5475476.441000001
88,AL,1997-05-01,6544787.461
89,AL,1997-06-01,6319350.128
90,AL,1997-07-01,7822928.842
91,AL,1997-08-01,7627241.518
92,AL,1997-09-01,7321396.996
93,AL,1997-10-01,7473668.341999999
94,AL,1997-11-01,6521539.885
95,AL,1997-12-01,6918130.149
96,AL,1998-01-01,6119277.507
97,AL,1998-02-01,5491220.584
98,AL,1998-03-01,5835755.741
99,AL,1998-04-01,5440648.282000001
100,AL,1998-05-01,6606049.714
101,AL,1998-06-01,7481061.493
102,AL,1998-07-01,8269825.439
103,AL,1998-08-01,7822262.627
104,AL,1998-09-01,7287188.859
105,AL,1998-10-01,6852677.642
106,AL,1998-11-01,6293454.065
107,AL,1998-12-01,7057797.698
108,AL,1999-01-01,6297413.521
109,AL,1999-02-01,5429358.558
110,AL,1999-03-01,5862954.861
111,AL,1999-04-01,5851350.625
112,AL,1999-05-01,6666706.7069999995
113,AL,1999-06-01,8090670.0649999995
114,AL,1999-07-01,8740096.529
115,AL,1999-08-01,8559161.911
116,AL,1999-09-01,7665871.075
117,AL,1999-10-01,6958965.252
118,AL,1999-11-01,6750902.985
119,AL,1999-12-01,7104891.218
120,AL,2000-01-01,7390398.169
121,AL,2000-02-01,6265437.242
122,AL,2000-03-01,6824559.869
123,AL,2000-04-01,5774751.933
124,AL,2000-05-01,6758613.722
125,AL,2000-06-01,7713385.627
126,AL,2000-07-01,8478287.226
127,AL,2000-08-01,8745444.641
128,AL,2000-09-01,8104876.038
129,AL,2000-10-01,7650554.055
130,AL,2000-11-01,7112637.247
131,AL,2000-12-01,7987418.3
132,AL,2001-01-01,7593486.188
133,AL,2001-02-01,6210206.727
134,AL,2001-03-01,6238755.694999999
135,AL,2001-04-01,5427792.596
136,AL,2001-05-01,6860095.397
137,AL,2001-06-01,7441359.592
138,AL,2001-07-01,8394359.072
139,AL,2001-08-01,8571374.394
140,AL,2001-09-01,7326980.622
141,AL,2001-10-01,7021054.053
142,AL,2001-11-01,6392390.698
143,AL,2001-12-01,6306282.882
144,AL,2002-01-01,6781458.858999999
145,AL,2002-02-01,5756593.669
146,AL,2002-03-01,5607926.3149999995
147,AL,2002-04-01,5915372.608999999
148,AL,2002-05-01,6711504.711999999
149,AL,2002-06-01,8149562.813
150,AL,2002-07-01,9088176.439000001
151,AL,2002-08-01,8913495.042
152,AL,2002-09-01,8137151.7700000005
153,AL,2002-10-01,7733886.410999999
154,AL,2002-11-01,7234466.284
155,AL,2002-12-01,7204524.3319999995
156,AL,2003-01-01,7818992.242000001
157,AL,2003-02-01,6664515.716
158,AL,2003-03-01,6295557.954
159,AL,2003-04-01,5908440.544
160,AL,2003-05-01,7268748.136
161,AL,2003-06-01,8180062.045
162,AL,2003-07-01,8826467.138
163,AL,2003-08-01,9262383.304
164,AL,2003-09-01,8152403.374
165,AL,2003-10-01,7308311.5770000005
166,AL,2003-11-01,7036405.007999999
167,AL,2003-12-01,7306221.882999999
