STATION,NAME,DATE,PRCP,SNOW,TAVG
USW00024130,"BAKER CITY AIRPORT, OR US",1990-01,0.97,5.5,29.6
USW00024130,"BAKER CITY AIRPORT, OR US",1990-02,0.22,1.5,29.3
USW00024130,"BAKER CITY AIRPORT, OR US",1990-03,0.6,0.2,39.3
USW00024130,"BAKER CITY AIRPORT, OR US",1990-04,0.99,0,49.1
USW00024130,"BAKER CITY AIRPORT, OR US",1990-05,2.13,0,50.3
USW00024130,"BAKER CITY AIRPORT, OR US",1990-06,0.63,0,59.7
USW00024130,"BAKER CITY AIRPORT, OR US",1990-07,0.29,0,68
USW00024130,"BAKER CITY AIRPORT, OR US",1990-08,0.86,0,66.4
USW00024130,"BAKER CITY AIRPORT, OR US",1990-09,0.12,0,62.6
USW00024130,"BAKER CITY AIRPORT, OR US",1990-10,0.8,0,43.7
USW00024130,"BAKER CITY AIRPORT, OR US",1990-11,0.47,1.4,35.4
USW00024130,"BAKER CITY AIRPORT, OR US",1990-12,0.71,8.7,16.3
USW00024130,"BAKER CITY AIRPORT, OR US",1991-01,0.4,2,21.3
USW00024130,"BAKER CITY AIRPORT, OR US",1991-02,0.52,1.3,36.9
USW00024130,"BAKER CITY AIRPORT, OR US",1991-03,1.01,4.8,37.2
USW00024130,"BAKER CITY AIRPORT, OR US",1991-04,0.8,3,42.9
USW00024130,"BAKER CITY AIRPORT, OR US",1991-05,3.93,0,49.1
USW00024130,"BAKER CITY AIRPORT, OR US",1991-06,1.38,0,54.7
USW00024130,"BAKER CITY AIRPORT, OR US",1991-07,0.15,0,65.6
USW00024130,"BAKER CITY AIRPORT, OR US",1991-08,0.01,0,67.4
USW00024130,"BAKER CITY AIRPORT, OR US",1991-09,0.21,0,58.4
USW00024130,"BAKER CITY AIRPORT, OR US",1991-10,0.38,0.9,45.9
USW00024130,"BAKER CITY AIRPORT, OR US",1991-11,1.82,3.9,34
USW00024130,"BAKER CITY AIRPORT, OR US",1991-12,0.11,0,30.3
USW00024130,"BAKER CITY AIRPORT, OR US",1992-01,0.19,0.2,31.5
USW00024130,"BAKER CITY AIRPORT, OR US",1992-02,0.64,0,39.8
USW00024130,"BAKER CITY AIRPORT, OR US",1992-03,0.54,0,43.7
USW00024130,"BAKER CITY AIRPORT, OR US",1992-04,0.7,0.7,48.3
USW00024130,"BAKER CITY AIRPORT, OR US",1992-05,0.43,0,57.2
USW00024130,"BAKER CITY AIRPORT, OR US",1992-06,3.16,0,63.5
USW00024130,"BAKER CITY AIRPORT, OR US",1992-07,0.61,0,63.4
USW00024130,"BAKER CITY AIRPORT, OR US",1992-08,0.16,0,65.7
USW00024130,"BAKER CITY AIRPORT, OR US",1992-09,0.17,0,56.1
USW00024130,"BAKER CITY AIRPORT, OR US",1992-10,0.27,0,48.7
USW00024130,"BAKER CITY AIRPORT, OR US",1992-11,0.45,4.8,31.7
USW00024130,"BAKER CITY AIRPORT, OR US",1992-12,0.54,10.2,22.6
USW00024130,"BAKER CITY AIRPORT, OR US",1993-01,0.86,15.4,18.3
