"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-01","1.81","4.0","33.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02","5.02","11.1","30.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03","1.91","7.8","39.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04","2.72","2.0","48.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05","3.74","0.0","56.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06","4.92","0.0","68.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-07","1.47","0.0","72.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-08","3.85","0.0","71.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-09","6.07","0.0","64.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-10","4.14","0.0","52.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-11","2.64","0.0","44.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-12","4.37","13.2","32.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-01","1.44","8.8","25.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-02","0.95","9.3","31.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-03","1.41","0.2","40.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-04","2.66","0.0","52.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-05","6.20","0.0","66.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-06","1.89","0.0","72.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-07","1.23","0.0","74.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-08","4.31","0.0","73.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-09","0.90","0.0","63.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-10","4.15","0.0","54.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-11","2.61","2.2","38.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1991-12","1.91","8.6","32.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-01","1.78","18.5","28.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-02","1.55","2.5","30.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-03","3.34","11.7","35.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-04","4.34","0.2","46.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-05","1.33","0.0","58.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-06","2.35","0.0","65.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-07","5.91","0.0","68.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-08","2.50","0.0","66.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-09","5.55","0.0","61.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-10","2.01","0.4","49.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-11","4.33","0.9","40.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","1992-12","2.35","5.0","33.2"
