"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-01","12.17","0.0","51.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-02","8.30","0.0","56.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-03","3.55","0.0","60.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-04","3.65","0.0","63.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-05","6.34","0.0","71.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-06","1.46","0.0","81.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-07","2.84","0.0","81.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-08","0.62","0.0","82.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-09","4.83","0.0","78.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-10","1.24","0.0","63.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-11","3.33","0.0","58.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1990-12","5.71","0.0","51.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-01","4.99","0.0","46.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-02","5.30","0.0","51.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-03","7.50","0.0","59.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-04","15.96","0.0","68.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-05","7.12","0.0","75.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-06","3.35","0.0","79.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-07","3.32","0.0","82.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-08","1.49","0.0","81.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-09","3.45","0.0","76.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-10","2.95","0.0","67.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-11","2.39","0.0","52.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1991-12","5.27","0.0","52.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-01","4.28","0.2","45.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-02","3.83","0.0","53.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-03","2.12","0.0","57.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-04","1.48","0.0","64.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-05","1.22","0.0","71.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-06","4.76","0.0","77.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-07","4.48","0.0","82.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-08","8.33","0.0","77.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-09","3.81","0.0","75.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-10","1.55","0.0","65.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-11","8.27","0.0","52.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1992-12","4.32","0.0","50.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-01","4.72","0.0","49.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-02","3.40","0.0","49.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-03","3.84","1.6","54.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-04","4.10","0.0","61.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-05","4.32","0.0","71.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-06","3.79","0.0","80.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-07","6.99","0.0","82.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-08","2.48","0.0","82.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-09","2.04","0.0","75.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-10","4.08","0.0","62.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-11","5.39","0.0","52.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1993-12","3.26","0.0","45.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-01","8.31","0.0","41.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-02","6.14","0.0","49.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-03","5.63","0.0","55.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-04","4.32","0.0","66.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-05","2.25","0.0","70.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-06","7.37","0.0","79.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-07","5.09","0.0","78.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-08","4.29","0.0","79.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-09","1.81","0.0","74.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-10","5.12","0.0","66.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-11","2.57","0.0","58.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1994-12","3.30","0.0","49.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-01","3.68","0.0","46.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-02","2.02","0.0","49.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-03","6.63","0.0","58.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-04","8.59","0.0","64.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-05","4.30","0.0","73.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-06","3.60","0.0","76.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-07","5.30","0.0","82.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-08","5.26","0.0","83.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-09","1.51","0.0","75.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-10","6.51","0.0","63.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-11","6.20","0.0","52.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1995-12","5.44","0.0","47.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-01","8.85","0.0","45.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-02","2.01","0.0","49.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-03","8.59","0.0","51.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-04","6.00","0.0","61.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-05","0.72","0.0","75.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-06","3.85","0.0","78.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-07","6.99","0.0","81.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-08","6.70","0.0","78.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-09","1.49","0.0","73.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-10","1.59","0.0","65.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-11","4.85","0.0","55.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1996-12","3.34","0.7","50.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-01","4.46","0.0","46.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-02","6.75","0.0","51.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-03","2.26","0.0","61.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-04","7.78","0.0","59.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-05","6.82","0.0","69.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-06","8.45","0.0","77.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-07","1.15","0.0","82.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-08","5.03","0.0","79.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-09","2.69","0.0","76.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-10","4.26","0.0","65.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-11","3.53","0.0","50.7"
