"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-01","3.96","0.0","55.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-02","1.68","0.0","59.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-03","6.63","0.0","62.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-04","1.65","0.0","66.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-05","1.92","0.0","74.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-06","3.13","0.0","81.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-07","5.95","0.0","83.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-08","6.32","0.0","82.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-09","0.18","0.0","79.1"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-10","7.29","0.0","70.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-11","3.75","0.0","60.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1990-12","2.70","0.0","56.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-01","7.79","0.0","50.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-02","0.94","0.0","54.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-03","4.67","0.0","60.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-04","4.60","0.0","67.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-05","5.38","0.0","76.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-06","4.55","0.0","78.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-07","7.39","0.0","83.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-08","8.09","0.0","82.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-09","2.29","0.0","77.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-10","0.77","0.0","67.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-11","1.65","0.0","56.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1991-12","1.62","0.0","54.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-01","4.93","0.0","49.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-02","2.23","0.0","54.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-03","3.59","0.0","57.9"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-04","2.76","0.0","63.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-05","5.07","0.0","70.3"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-06","6.22","0.0","77.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-07","4.35","0.0","83.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-08","9.55","0.0","80.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-09","3.04","0.0","76.2"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-10","4.87","0.0","65.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-11","5.76","0.0","60.4"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1992-12","1.50","0.0","51.0"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1993-01","8.93","0.0","53.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1993-02","3.08","0.0","49.7"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1993-03","5.80","0.0","55.8"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1993-04","2.72","0.0","61.6"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1993-05","2.67","0.0","72.5"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1993-06","3.70","0.0","79.4"
