state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,"4,050,055","4,099,156","4,154,014","4,214,202","4,260,229","4,296,800","4,331,102","4,367,935","4,404,701","4,430,141","4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938","4,788,095","4,812,576","4,839,947","4,865,253","4,887,757","4,909,177","4,931,579","4,953,096","4,977,088","5,003,778","5,024,319"
Alaska,"553,290","570,193","588,736","599,432","603,308","604,412","608,569","612,968","619,932","624,779","627,963","633,714","642,337","648,414","659,286","666,946","675,302","680,300","687,455","698,895","714,015","722,513","731,106","738,054","737,634","739,120","743,397","741,937","737,710","734,820","733,390"
Arizona,"3,684,097","3,788,576","3,915,740","4,065,440","4,245,089","4,432,499","4,586,940","4,736,990","4,883,342","5,023,823","5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,401,304","6,443,158","6,501,800","6,555,926","6,629,890","6,705,607","6,793,278","6,872,380","6,964,300","7,067,695","7,151,505"
Arkansas,"2,356,586","2,383,144","2,415,984","2,456,303","2,494,019","2,535,399","2,572,109","2,601,090","2,626,289","2,651,860","2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,921,546","2,938,773","2,948,793","2,954,563","2,961,050","2,970,210","2,980,475","2,990,702","2,997,195","3,004,206","3,011,527"
California,"29,959,515","30,470,736","30,974,659","31,274,928","31,484,435","31,696,582","32,018,834","32,486,010","32,987,675","33,499,204","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,322,523","37,651,212","37,971,412","38,292,557","38,637,421","38,966,939","39,223,789","39,424,315","39,535,920","39,547,995","39,538,265"
Colorado,"3,307,618","3,387,119","3,495,939","3,613,734","3,724,168","3,826,653","3,919,972","4,018,293","4,116,639","4,226,018","4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,046,928","5,118,837","5,188,139","5,262,801","5,342,212","5,441,452","5,528,510","5,599,635","5,676,918","5,735,797","5,773,730"
Connecticut,"3,291,967","3,302,895","3,300,712","3,309,175","3,316,121","3,324,144","3,336,685","3,349,348","3,365,352","3,386,401","3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,580,281","3,594,181","3,605,215","3,610,238","3,614,584","3,611,891","3,607,614","3,607,550","3,611,229","3,607,133","3,605,951"
Delaware,"669,567","683,080","694,925","706,378","717,545","729,734","740,977","751,487","763,335","774,990","786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730","899,773","908,220","916,654","925,704","935,278","944,716","953,146","961,604","971,152","981,340","989,951"
Florida,"13,033,307","13,369,798","13,650,553","13,927,185","14,239,444","14,537,875","14,853,360","15,186,304","15,486,559","15,759,421","16,047,515","16,356,966","16,689,370","17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644","18,842,405","19,036,879","19,268,256","19,502,928","19,790,139","20,140,379","20,533,473","20,868,335","21,131,181","21,353,320","21,538,209"
Georgia,"6,512,602","6,653,005","6,817,203","6,978,240","7,157,165","7,328,413","7,501,069","7,685,099","7,863,536","8,045,965","8,227,303","8,377,038","8,508,256","8,622,793","8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846","9,712,616","9,805,666","9,907,250","9,980,892","10,078,133","10,191,912","10,318,636","10,428,854","10,532,841","10,643,103","10,711,972"
Hawaii,"1,113,491","1,136,754","1,158,613","1,172,838","1,187,536","1,196,854","1,203,755","1,211,640","1,215,233","1,210,300","1,213,519","1,225,948","1,239,613","1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717","1,365,117","1,385,141","1,405,255","1,423,345","1,434,323","1,446,452","1,456,816","1,458,161","1,459,965","1,456,943","1,455,280"
Idaho,"1,012,384","1,041,316","1,071,685","1,108,768","1,145,140","1,177,322","1,203,083","1,228,520","1,252,330","1,275,674","1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,571,339","1,586,880","1,600,611","1,618,841","1,641,124","1,663,458","1,697,093","1,734,888","1,769,305","1,808,378","1,839,129"
Illinois,"11,453,316","11,568,964","11,694,184","11,809,579","11,912,585","12,008,437","12,101,997","12,185,715","12,271,847","12,359,020","12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778","12,845,460","12,892,409","12,927,420","12,959,880","12,968,905","12,963,110","12,944,999","12,922,894","12,887,397","12,849,440","12,812,436"
Indiana,"5,557,798","5,616,388","5,674,547","5,739,019","5,793,526","5,851,459","5,906,013","5,955,267","5,998,880","6,044,969","6,091,866","6,127,760","6,155,967","6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325","6,491,385","6,521,409","6,546,485","6,581,401","6,610,174","6,628,925","6,658,719","6,686,218","6,725,960","6,761,818","6,785,499"
Iowa,"2,781,018","2,797,613","2,818,401","2,836,972","2,850,746","2,867,373","2,880,000","2,891,119","2,902,872","2,917,634","2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870","3,051,473","3,070,048","3,082,748","3,102,460","3,121,790","3,136,310","3,149,607","3,162,752","3,171,540","3,183,858","3,190,352"
Kansas,"2,481,349","2,498,722","2,532,394","2,556,547","2,580,513","2,601,007","2,614,554","2,635,292","2,660,598","2,678,338","2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,858,835","2,872,529","2,891,164","2,901,727","2,911,564","2,922,703","2,927,251","2,927,448","2,931,587","2,933,756","2,937,864"
Kentucky,"3,694,048","3,722,328","3,765,469","3,812,206","3,849,088","3,887,427","3,919,535","3,952,747","3,985,390","4,018,053","4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,349,159","4,374,302","4,394,147","4,415,978","4,428,854","4,443,778","4,457,755","4,475,829","4,487,302","4,498,163","4,505,819"
Louisiana,"4,221,532","4,253,279","4,293,003","4,316,428","4,347,481","4,378,779","4,398,877","4,421,071","4,440,344","4,460,811","4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,544,804","4,577,089","4,603,590","4,628,239","4,648,813","4,670,550","4,685,576","4,678,580","4,670,033","4,664,544","4,657,753"
Maine,"1,231,719","1,237,081","1,238,508","1,242,302","1,242,662","1,243,480","1,249,060","1,254,774","1,259,127","1,266,808","1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,327,967","1,330,060","1,330,954","1,332,673","1,336,617","1,335,768","1,340,292","1,344,956","1,350,606","1,357,523","1,362,357"
Maryland,"4,799,770","4,867,641","4,923,368","4,971,889","5,023,060","5,070,033","5,111,986","5,157,328","5,204,464","5,254,509","5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,791,715","5,854,930","5,914,854","5,963,434","6,010,059","6,050,280","6,080,556","6,113,486","6,139,211","6,163,769","6,177,203"
Massachusetts,"6,022,639","6,018,470","6,028,709","6,060,569","6,095,241","6,141,445","6,179,756","6,226,058","6,271,838","6,317,345","6,361,104","6,397,634","6,417,206","6,422,565","6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613","6,569,724","6,630,673","6,693,932","6,757,991","6,820,869","6,866,661","6,909,664","6,959,114","6,994,446","7,016,781","7,029,937"
Michigan,"9,311,319","9,400,446","9,479,065","9,540,114","9,597,737","9,676,211","9,758,645","9,809,051","9,847,942","9,897,116","9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591","9,880,111","9,895,652","9,921,001","9,947,598","9,974,914","9,987,448","10,017,194","10,049,914","10,070,532","10,078,126","10,077,259"
Minnesota,"4,389,857","4,440,859","4,495,572","4,555,954","4,610,355","4,660,180","4,712,827","4,763,390","4,813,412","4,873,481","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203","5,312,197","5,352,946","5,388,902","5,431,187","5,474,193","5,510,593","5,557,028","5,606,013","5,650,556","5,686,910","5,706,526"
Mississippi,"2,578,897","2,598,733","2,623,734","2,655,100","2,688,992","2,722,659","2,748,085","2,777,004","2,804,834","2,828,408","2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774","2,970,367","2,977,902","2,982,356","2,986,599","2,987,656","2,985,000","2,984,364","2,983,448","2,974,657","2,969,008","2,961,284"
Missouri,"5,128,880","5,170,800","5,217,101","5,271,175","5,324,497","5,378,247","5,431,553","5,481,193","5,521,765","5,561,948","5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088","5,996,167","6,011,574","6,026,733","6,044,008","6,060,462","6,077,056","6,093,343","6,113,654","6,128,572","6,143,374","6,154,872"
Montana,"800,204","809,680","825,770","844,761","861,306","876,553","886,254","889,865","892,431","897,507","903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982","990,874","998,243","1,005,475","1,016,046","1,025,126","1,034,544","1,045,768","1,058,073","1,066,610","1,075,495","1,084,215"
Nebraska,"1,581,660","1,595,919","1,611,687","1,625,590","1,639,041","1,656,992","1,673,740","1,686,418","1,695,816","1,704,764","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683","1,830,194","1,843,937","1,859,140","1,873,681","1,890,242","1,904,766","1,921,616","1,934,551","1,945,483","1,954,962","1,961,472"
