state,date,monthly_population,yearly_population,year,month,monthly_emissions,prcp,snow,tavg,gdp_rel_2017,yearly_gdp_rel_2017,gdp_rel_2017_interp,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow,monthly_num_plants,yearly_num_plants
AL,1990-01-01,,,1990,1,4698354.154139824,7.89,0.0,46.8,,,,105656.19444444444,136305.19444444444,1269484.0,1599432.0,-30649.0,-329948.0,,
AL,1990-02-01,,,1990,2,4077255.046172644,9.35,0.0,51.9,,,,105668.38888888888,136030.72222222222,1269484.0,1599432.0,-30362.33333333333,-329948.0,,
AL,1990-03-01,,,1990,3,4167678.11128889,8.92,0.0,54.2,,,,105680.58333333331,135756.25,1269484.0,1599432.0,-30075.66666666667,-329948.0,,
AL,1990-04-01,,,1990,4,3828219.589644398,4.48,0.0,59.7,,,,105692.77777777778,135481.77777777778,1269484.0,1599432.0,-29789.0,-329948.0,,
AL,1990-05-01,,,1990,5,4620473.239382293,4.38,0.0,67.3,,,,105704.97222222222,135207.30555555556,1269484.0,1599432.0,-29502.333333333343,-329948.0,,
AL,1990-06-01,,,1990,6,5267892.535668813,2.66,0.0,77.1,,,,105717.16666666666,134932.8333333333,1269484.0,1599432.0,-29215.666666666657,-329948.0,,
AL,1990-07-01,,,1990,7,5839053.80902655,3.55,0.0,79.6,,,,105729.36111111112,134658.3611111111,1269484.0,1599432.0,-28928.999999999985,-329948.0,,
AL,1990-08-01,,,1990,8,5768188.69614395,1.89,0.0,81.4,,,,105741.55555555556,134383.88888888888,1269484.0,1599432.0,-28642.33333333333,-329948.0,,
AL,1990-09-01,,,1990,9,4982597.802983613,2.34,0.0,76.1,,,,105753.75,134109.41666666666,1269484.0,1599432.0,-28355.666666666657,-329948.0,,
AL,1990-10-01,,,1990,10,4539119.546715097,3.4,0.0,61.8,,,,105765.94444444444,133834.94444444444,1269484.0,1599432.0,-28069.0,-329948.0,,
AL,1990-11-01,,,1990,11,4303924.263047509,4.73,0.0,55.2,,,,105778.13888888888,133560.47222222222,1269484.0,1599432.0,-27782.33333333333,-329948.0,,
AL,1990-12-01,,,1990,12,4561646.229796418,18.68,0.0,46.8,,,,105790.33333333331,133286.0,1269484.0,1599432.0,-27495.66666666667,-329948.0,,
AR,1990-01-01,,,1990,1,2121336.0647711437,6.5,0.0,48.1,,,,36322.895833333336,71687.75694444445,443286.0,829674.0,-35364.86111111112,-386388.0,,
AR,1990-02-01,,,1990,2,1734730.865271986,4.82,0.0,51.2,,,,36379.04166666666,71456.09722222222,443286.0,829674.0,-35077.055555555555,-386388.0,,
AR,1990-03-01,,,1990,3,1570798.8633477911,10.39,0.0,55.4,,,,36435.1875,71224.4375,443286.0,829674.0,-34789.25,-386388.0,,
AR,1990-04-01,,,1990,4,1436464.8273198884,7.73,0.0,62.0,,,,36491.333333333336,70992.77777777778,443286.0,829674.0,-34501.444444444445,-386388.0,,
AR,1990-05-01,,,1990,5,1790358.0530865618,7.71,0.0,68.1,,,,36547.47916666666,70761.11805555556,443286.0,829674.0,-34213.6388888889,-386388.0,,
AR,1990-06-01,,,1990,6,2271617.382333617,0.8,0.0,80.5,,,,36603.625,70529.45833333334,443286.0,829674.0,-33925.83333333334,-386388.0,,
AR,1990-07-01,,,1990,7,2570644.903041764,4.63,0.0,83.1,,,,36659.770833333336,70297.79861111111,443286.0,829674.0,-33638.027777777774,-386388.0,,
AR,1990-08-01,,,1990,8,2583198.01594262,1.57,0.0,82.2,,,,36715.91666666666,70066.13888888889,443286.0,829674.0,-33350.222222222226,-386388.0,,
AR,1990-09-01,,,1990,9,2181970.4006150826,4.09,0.0,77.5,,,,36772.0625,69834.47916666667,443286.0,829674.0,-33062.41666666667,-386388.0,,
AR,1990-10-01,,,1990,10,1802115.3729516536,8.75,0.0,61.4,,,,36828.208333333336,69602.81944444444,443286.0,829674.0,-32774.6111111111,-386388.0,,
AR,1990-11-01,,,1990,11,1664453.712463611,3.3,0.0,56.3,,,,36884.35416666666,69371.15972222222,443286.0,829674.0,-32486.805555555555,-386388.0,,
AR,1990-12-01,,,1990,12,1943611.8979342773,6.87,0.0,43.1,,,,36940.5,69139.5,443286.0,829674.0,-32199.0,-386388.0,,
AZ,1990-01-01,,,1990,1,2906959.923644789,0.81,0.0,55.6,,,,33736.72222222222,76018.20833333334,512780.0,912983.0,-42281.48611111112,-400203.0,,
AZ,1990-02-01,,,1990,2,2403330.250404812,0.7,0.0,56.6,,,,34554.444444444445,76024.0,512780.0,912983.0,-41469.55555555556,-400203.0,,
AZ,1990-03-01,,,1990,3,2430686.225437363,0.35,0.0,67.1,,,,35372.166666666664,76029.79166666667,512780.0,912983.0,-40657.62500000001,-400203.0,,
