,state,year,yearly_population,prcp,snow,tavg,yearly_gdp_rel_2017,yearly_energy_prod,yearly_energy_use,yearly_energy_flow,yearly_num_plants,yearly_pop_density,yearly_energy_renew,yearly_energy_fossil,yearly_energy_total,yearly_renew_pct,yearly_fossil_pct,total_co2
0,AL,1990,4050055.0,6.0225,0.0,63.15833333333333,,1269484.0,1599432.0,-329948.0,,0.0129437748376256,10366507.0,54816918.0,79652133.0,0.1301472617186535,0.6882040183406012,56654403.024009995
1,AL,1991,4099156.0,5.857499999999999,0.0,62.416666666666664,,1300485.0,1618216.0,-317731.0,,0.012788730167868698,10757723.0,59613166.0,88786612.0,0.1211637966318615,0.6714206641875241,61056806.49739
2,AL,1992,4154014.0,4.635833333333333,0.016666666666666666,60.041666666666664,,1413636.0,1691870.0,-278234.0,,0.0126198419167581,10260023.0,62751600.0,95234422.0,0.1077343967079466,0.6589172137780182,64188235.51767
3,AL,1993,4214202.0,4.299166666666666,0.6083333333333333,60.38333333333333,,1421826.0,1744734.0,-322908.0,,0.0124396030375383,9034210.0,68790243.0,99336996.0,0.0909450694482446,0.6924936908702172,70552930.46757999
4,AL,1994,4260229.0,5.509166666666666,0.008333333333333333,60.958333333333336,,1558410.0,1822330.0,-263920.0,,0.0123052070675074,11429120.0,64797093.0,100764257.0,0.11342434649222881,0.6430563270069068,66058344.11583
5,AL,1995,4296800.0,4.3758333333333335,0.15833333333333335,60.25,,1583677.0,1907458.0,-323781.0,,0.0122004747719232,9501510.0,70782556.0,105189366.0,0.09032766677194341,0.672906004586053,72272593.59232
6,AL,1996,4331102.0,5.015,0.19999999999999998,59.75833333333333,,1663241.0,1935016.0,-271775.0,,0.0121038479352368,11081921.0,76291102.0,121472911.0,0.09122956640102249,0.6280503313203715,78075057.53135
7,AL,1997,4367935.0,4.804166666666666,0.0,59.775,154700.0,1629937.0,1903449.0,-273512.0,10.0,0.0120017811620365,11520637.0,74450351.0,119542332.0,0.0963728648024032,0.6227948690176129,79159654.644
8,AL,1998,4404701.0,3.8091666666666666,0.05833333333333333,63.333333333333336,160396.4,1600482.0,1946380.0,-345898.0,11.0,0.0119016024016159,10564857.0,76145408.0,119862125.0,0.0881417461938039,0.6352749711387146,80557219.65100001
9,AL,1999,4430141.0,3.81,0.0,62.51666666666666,166531.8,1524759.0,2002228.0,-477469.0,13.0,0.0118332576773515,7759602.0,77419585.0,120657508.0,0.0643109751611975,0.641647472115867,83978343.307
10,AL,2000,4452173.0,3.575833333333333,0.041666666666666664,61.61666666666667,168695.3,1498716.0,2065056.0,-566340.0,13.0,0.011774699680358302,5817631.0,82912080.0,124405340.0,0.0467635151352827,0.6664672111341844,88806364.069
11,AL,2001,4467634.0,5.302499999999999,0.08333333333333333,60.71666666666667,168448.3,1426059.0,1859586.0,-433527.0,15.0,0.0117339513487452,8356382.0,82245345.0,125345113.0,0.0666669948273133,0.6561511895561497,83784137.91600001
12,AL,2002,4480089.0,4.215,0.0,61.916666666666664,172430.4,1426017.0,1920028.0,-494011.0,18.0,0.0117013300405416,8824787.0,88257777.0,132920670.0,0.0663913821680254,0.6639883548585784,87234119.255
13,AL,2003,4503491.0,4.5725,0.0,60.59166666666667,178040.0,1435498.0,1897039.0,-461541.0,19.0,0.0116405250948652,12664867.0,89276633.0,137487222.0,0.0921166841235616,0.6493449478526812,90028508.921
14,AL,2004,4530729.0,4.95,0.0,61.375,189913.70000000004,1472992.0,2017763.0,-544771.0,21.0,0.011570544166292001,10626221.0,91103668.0,137354771.0,0.0773633192544873,0.6632726867565452,87666415.987
15,AL,2005,4569805.0,3.3041666666666667,0.0,61.80833333333334,197246.5,1434874.0,2018906.0,-584032.0,22.0,0.011471605462377401,10144581.0,92331018.0,137948581.0,0.0735388572065123,0.6693147354665432,91471964.573
16,AL,2006,4628981.0,3.5525,0.03333333333333333,62.46666666666667,199923.9,1365004.0,2050913.0,-685909.0,22.0,0.0113249546714492,7251786.0,97696056.0,140895441.0,0.0514692735870708,0.6933940183344897,92413616.551
17,AL,2007,4672840.0,2.388333333333333,0.08333333333333333,63.625,202025.5,1380568.0,2067459.0,-686891.0,23.0,0.011218659316389998,4136114.0,101382458.0,143826271.0,0.028757708666450704,0.7048952690986475,94803587.406
18,AL,2008,4718206.0,4.029166666666667,0.06666666666666667,61.46666666666667,200967.4,1442777.0,1976568.0,-533791.0,19.0,0.011110790838721301,6136148.0,97171832.0,145869895.0,0.0420658971475916,0.6661541231657155,89426808.247
19,AL,2009,4757938.0,5.6433333333333335,0.075,61.583333333333336,194192.1,1368693.0,1749847.0,-381154.0,19.0,0.0110180082212084,12535373.0,87445081.0,143255556.0,0.0875035729853297,0.610413190536219,74033778.239
20,AL,2010,4788095.0,3.8866666666666667,0.4749999999999999,61.99166666666667,199455.0,1374287.0,1906254.0,-531967.0,26.0,0.0109486131749683,8704254.0,102485282.0,152150512.0,0.0572081808045443,0.6735782920007525,85171206.933
21,AL,2011,4812576.0,4.951666666666667,0.9583333333333334,62.291666666666664,201372.79999999996,1354471.0,1882463.0,-527992.0,26.0,0.0108929188858524,8883598.0,104608791.0,156339210.0,0.0568225846862089,0.6691142356418457,84415460.417
22,AL,2012,4839947.0,4.3525,0.0,64.00833333333334,203675.5,1398031.0,1863418.0,-465387.0,23.0,0.010831316954503798,7435223.0,101421503.0,152878688.0,0.04863479074336371,0.6634116522507049,75883991.337
23,AL,2013,4865253.0,4.858333333333333,0.05833333333333333,60.94166666666667,206962.9,1401878.0,1882362.0,-480484.0,25.0,0.010774979225129702,12899178.0,93711000.0,150572924.0,0.08566731426428291,0.6223628890941907,74162179.87099999
24,AL,2014,4887757.0,4.4558333333333335,0.43333333333333335,61.05833333333334,206070.0,1311373.0,1929314.0,-617941.0,25.0,0.010725369530441,9466872.0,95669800.0,149340447.0,0.063391212428874,0.6406154656815779,75155072.838
25,AL,2015,4909177.0,5.381666666666667,0.8166666666666668,64.05,208950.29999999996,1208739.0,1880544.0,-671805.0,24.0,0.0106785719887467,9861804.0,97339094.0,152477427.0,0.0646771407022758,0.6383836343198525,72944370.154
26,AL,2016,4931579.0,3.704166666666667,0.03333333333333333,64.99166666666666,212862.79999999996,1077533.0,1895744.0,-818211.0,24.0,0.0106300639207036,7016064.0,92107856.0,142385098.0,0.0492752689610818,0.6468925280368877,65503527.675
27,AL,2017,4953096.0,4.465,0.0,64.21666666666667,216615.5,1175505.0,1867484.0,-691979.0,24.0,0.0105838853113285,9418011.0,84459772.0,139964250.0,0.0672886897904286,0.6034381779633013,60883581.024000004
28,AL,2018,4977088.0,4.979166666666667,0.03333333333333333,63.574999999999996,220808.79999999996,1180361.0,1913464.0,-733103.0,26.0,0.010532865804261401,11500391.0,90643643.0,145057994.0,0.0792813321270663,0.6248786468121157,62170931.177
29,AL,2019,5003778.0,5.136666666666667,0.05833333333333333,64.00833333333334,225272.79999999996,1185792.0,1883941.0,-698149.0,23.0,0.0104766838177073,11790155.0,83872358.0,142679433.0,0.0826338789838056,0.5878377579479167,56295754.88
30,AL,2020,,5.876666666666666,0.0,62.6,222288.79999999996,1132053.0,1793090.0,-661037.0,21.0,,13717876.0,76972045.0,137547377.0,0.0997320072486733,0.559603873798335,49577223.109
31,AL,2021,,,,,233726.6,1072983.0,1924516.0,-851533.0,,,12014804.0,81370699.0,142733330.0,0.08417658300272261,0.5700889834210412,54207629.333000004
32,AL,2022,,,,,238556.5,1039523.0,1902374.0,-862851.0,,,11082782.0,88202352.0,144788893.0,0.0765444211248994,0.6091789927560258,57519301.095
33,AL,2023,,,,,245354.70000000004,,,,,,9630443.0,81054864.0,139435010.0,0.069067610781539,0.5813092708925829,49650602.958
34,AL,2024,,,,,,,,,,,,,,,,51683407.445
35,AR,1990,2356586.0,5.596666666666667,0.0,64.075,,443286.0,829674.0,-386388.0,,0.022567391981451097,3654653.0,22866487.0,39099598.0,0.0934703471887358,0.5848266521819483,23671300.359079998
36,AR,1991,2383144.0,4.9799999999999995,0.0,63.23333333333333,,446578.0,818074.0,-371496.0,,0.0223158986615999,3546966.0,23037855.0,40651244.0,0.0872535659671325,0.5667195572169944,23670855.02584
37,AR,1992,2415984.0,3.4949999999999997,0.0,62.0,,473555.0,847533.0,-373978.0,,0.0220125629971059,3377255.0,23572900.0,39746101.0,0.0849707245498118,0.5930871055754626,24089372.370469995
38,AR,1993,2456303.0,3.6483333333333334,0.0,61.53333333333333,,503366.0,912973.0,-409607.0,,0.0216512376526837,4509292.0,20867916.0,40498654.0,0.1113442436877037,0.5152743101042321,21490772.446439996
39,AR,1994,2494019.0,4.4525,0.06666666666666667,62.48333333333333,,490546.0,951014.0,-460468.0,,0.0213238150952338,3462641.0,23077058.0,42032148.0,0.0823807767330853,0.5490335159649704,23919432.544699997
40,AR,1995,2535399.0,3.0866666666666664,0.6749999999999999,62.833333333333336,,472317.0,1002777.0,-530460.0,,0.020975791187107,3217714.0,25532440.0,41972088.0,0.0766631862584487,0.6083195098609342,26053137.635469995
41,AR,1996,2572109.0,3.9250000000000003,0.10833333333333332,61.90833333333333,,518867.0,1025669.0,-506802.0,,0.020676417679033,2796966.0,28296108.0,46033563.0,0.0607592768780465,0.6146842902427518,28492971.850199997
42,AR,1997,2601090.0,4.148333333333333,0.39166666666666666,62.11666666666667,87180.3,511025.0,1039783.0,-528758.0,6.0,0.0204460437739563,3515704.0,25883257.0,45193600.0,0.0777920767542307,0.5727195222332365,28274162.175
